size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,25,PC,3,19,72,2024-03-19 17:25:20.396539,0
10,24,PC,0,19,69,2024-03-19 17:25:20.422872,0
10,25,PC,0,19,69,2024-03-19 17:25:20.449914,0
10,23,PC,0,19,69,2024-03-19 17:25:20.475168,0
10,23,PC,5,19,74,2024-03-19 17:25:20.500626,0
10,23,PC,0,19,69,2024-03-19 17:25:20.524735,0
10,23,PC,3,19,72,2024-03-19 17:25:20.549607,0
10,23,PC,0,19,69,2024-03-19 17:25:20.575698,0
10,24,PC,0,19,69,2024-03-19 17:25:20.601750,0
10,24,PC,0,19,69,2024-03-19 17:25:20.628714,0
10,23,PC,0,19,69,2024-03-19 17:25:20.654287,0
10,26,PC,0,19,69,2024-03-19 17:25:20.682350,0
10,23,PC,0,19,69,2024-03-19 17:25:20.708031,0
10,24,PC,0,19,69,2024-03-19 17:25:20.734171,0
10,23,PC,0,19,69,2024-03-19 17:25:20.759817,0
10,23,PC,0,19,69,2024-03-19 17:25:20.785828,0
10,25,PC,4,19,73,2024-03-19 17:25:20.813476,0
10,25,PC,0,19,69,2024-03-19 17:25:20.841030,0
10,24,PC,0,19,69,2024-03-19 17:25:20.866907,0
10,23,PC,3,19,72,2024-03-19 17:25:20.892765,0
10,23,PC,6,19,74,2024-03-19 17:25:20.918851,0
10,22,PC,3,19,72,2024-03-19 17:25:20.943918,0
10,24,PC,0,19,69,2024-03-19 17:25:20.969342,0
10,26,PC,0,19,69,2024-03-19 17:25:20.997421,0
10,25,PC,3,19,72,2024-03-19 17:25:21.024500,0
10,24,PC,3,19,72,2024-03-19 17:25:21.051336,0
10,24,PC,0,19,69,2024-03-19 17:25:21.078522,0
10,23,PC,0,19,69,2024-03-19 17:25:21.102814,0
10,24,PC,6,19,74,2024-03-19 17:25:21.128053,0
10,23,PC,6,19,74,2024-03-19 17:25:21.153197,0
10,25,PC,0,19,69,2024-03-19 17:25:21.179249,0
10,24,PC,3,19,72,2024-03-19 17:25:21.205443,0
10,25,PC,0,19,69,2024-03-19 17:25:21.232994,0
10,24,PC,9,19,77,2024-03-19 17:25:21.259164,0
10,23,PC,0,19,69,2024-03-19 17:25:21.285033,0
10,25,PC,0,19,69,2024-03-19 17:25:21.311946,0
10,24,PC,0,19,69,2024-03-19 17:25:21.337232,0
10,24,PC,0,19,69,2024-03-19 17:25:21.363434,0
10,23,PC,6,19,74,2024-03-19 17:25:21.388867,0
10,24,PC,0,19,69,2024-03-19 17:25:21.414923,0
10,25,PC,0,19,69,2024-03-19 17:25:21.443647,0
10,24,PC,0,19,69,2024-03-19 17:25:21.470004,0
10,24,PC,0,19,69,2024-03-19 17:25:21.496680,0
10,24,PC,0,19,69,2024-03-19 17:25:21.522728,0
10,23,PC,0,19,69,2024-03-19 17:25:21.548604,0
10,23,PC,0,19,69,2024-03-19 17:25:21.573682,0
10,23,PC,0,19,69,2024-03-19 17:25:21.597968,0
10,25,PC,5,19,73,2024-03-19 17:25:21.625060,0
10,24,PC,3,19,72,2024-03-19 17:25:21.652525,0
10,24,PC,0,19,69,2024-03-19 17:25:21.678972,0
10,23,PC,0,19,69,2024-03-19 17:25:21.704136,0
10,24,PC,0,19,69,2024-03-19 17:25:21.730395,0
10,24,PC,0,19,69,2024-03-19 17:25:21.757354,0
10,23,PC,0,19,69,2024-03-19 17:25:21.782426,0
10,23,PC,0,19,69,2024-03-19 17:25:21.807472,0
10,25,PC,6,19,75,2024-03-19 17:25:21.834701,0
10,26,PC,0,19,69,2024-03-19 17:25:21.863575,0
10,24,PC,6,19,74,2024-03-19 17:25:21.890149,0
10,23,PC,0,19,69,2024-03-19 17:25:21.915604,0
10,26,PC,0,19,69,2024-03-19 17:25:21.944228,0
10,23,PC,5,19,74,2024-03-19 17:25:21.969677,0
10,23,PC,0,19,69,2024-03-19 17:25:21.994714,0
10,23,PC,3,19,72,2024-03-19 17:25:22.019933,0
10,24,PC,0,19,69,2024-03-19 17:25:22.046125,0
10,25,PC,0,19,69,2024-03-19 17:25:22.073299,0
10,24,PC,0,19,69,2024-03-19 17:25:22.100249,0
10,24,PC,4,19,73,2024-03-19 17:25:22.126661,0
10,23,PC,0,19,69,2024-03-19 17:25:22.152256,0
10,23,PC,3,19,72,2024-03-19 17:25:22.177293,0
10,23,PC,5,19,74,2024-03-19 17:25:22.202903,0
10,23,PC,0,19,69,2024-03-19 17:25:22.227382,0
10,25,PC,0,19,69,2024-03-19 17:25:22.255931,0
10,24,PC,0,19,69,2024-03-19 17:25:22.282698,0
10,23,PC,0,19,69,2024-03-19 17:25:22.308291,0
10,23,PC,0,19,69,2024-03-19 17:25:22.334023,0
10,23,PC,0,19,69,2024-03-19 17:25:22.359646,0
10,24,PC,0,19,69,2024-03-19 17:25:22.384684,0
10,23,PC,3,19,72,2024-03-19 17:25:22.409301,0
10,22,PC,0,19,69,2024-03-19 17:25:22.434049,0
10,22,PC,3,19,72,2024-03-19 17:25:22.458771,0
10,24,PC,0,19,69,2024-03-19 17:25:22.485577,0
10,23,PC,3,19,72,2024-03-19 17:25:22.511625,0
10,25,PC,0,19,69,2024-03-19 17:25:22.538832,0
10,25,PC,3,19,72,2024-03-19 17:25:22.566426,0
10,23,PC,0,19,69,2024-03-19 17:25:22.591650,0
10,23,PC,0,19,69,2024-03-19 17:25:22.616686,0
10,23,PC,3,19,72,2024-03-19 17:25:22.641515,0
10,24,PC,0,19,69,2024-03-19 17:25:22.667579,0
10,25,PC,0,19,69,2024-03-19 17:25:22.694724,0
10,24,PC,6,19,74,2024-03-19 17:25:22.721283,0
10,24,PC,0,19,69,2024-03-19 17:25:22.747832,0
10,24,PC,0,19,69,2024-03-19 17:25:22.773871,0
10,23,PC,6,19,74,2024-03-19 17:25:22.799025,0
10,23,PC,0,19,69,2024-03-19 17:25:22.823362,0
10,23,PC,0,19,69,2024-03-19 17:25:22.848965,0
10,24,PC,0,19,69,2024-03-19 17:25:22.875558,0
10,24,PC,0,19,69,2024-03-19 17:25:22.901810,0
10,24,PC,0,19,69,2024-03-19 17:25:22.928397,0
10,24,PC,0,19,69,2024-03-19 17:25:22.954470,0
10,23,PC,0,19,69,2024-03-19 17:25:22.979505,0
10,23,PC,0,19,69,2024-03-19 17:25:23.004791,0
10,23,PC,6,19,74,2024-03-19 17:25:23.030037,0
10,22,PC,0,19,69,2024-03-19 17:25:23.053800,0
10,23,PC,6,19,75,2024-03-19 17:25:23.079256,0
10,25,PC,5,19,74,2024-03-19 17:25:23.106996,0
10,25,PC,6,19,74,2024-03-19 17:25:23.134108,0
10,24,PC,3,19,72,2024-03-19 17:25:23.160398,0
10,25,PC,5,19,74,2024-03-19 17:25:23.187919,0
10,23,PC,0,19,69,2024-03-19 17:25:23.213148,0
10,23,PC,0,19,69,2024-03-19 17:25:23.237324,0
10,23,PC,0,19,69,2024-03-19 17:25:23.262335,0
10,23,PC,0,19,69,2024-03-19 17:25:23.287657,0
10,23,PC,0,19,69,2024-03-19 17:25:23.313150,0
10,23,PC,0,19,69,2024-03-19 17:25:23.339332,0
10,24,PC,0,19,69,2024-03-19 17:25:23.366031,0
10,28,PC,6,19,74,2024-03-19 17:25:23.397022,0
10,25,PC,3,19,72,2024-03-19 17:25:23.424090,0
10,24,PC,0,19,69,2024-03-19 17:25:23.450823,0
10,24,PC,0,19,69,2024-03-19 17:25:23.475995,0
10,26,PC,6,19,74,2024-03-19 17:25:23.504495,0
10,25,PC,10,19,78,2024-03-19 17:25:23.531633,0
