batch_size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,33,Laptop,5,78,19,2024-03-19 17:51:26.877911,0
10,32,Laptop,7,78,19,2024-03-19 17:51:26.910660,0
10,32,Laptop,7,78,19,2024-03-19 17:51:26.943573,0
10,32,Laptop,9,78,19,2024-03-19 17:51:26.976035,0
10,34,Laptop,9,78,19,2024-03-19 17:51:27.011327,0
10,37,Laptop,14,78,19,2024-03-19 17:51:27.049714,0
10,32,Laptop,11,78,19,2024-03-19 17:51:27.082735,0
10,32,Laptop,5,78,19,2024-03-19 17:51:27.115482,0
10,32,Laptop,7,78,19,2024-03-19 17:51:27.148272,0
10,32,Laptop,9,78,19,2024-03-19 17:51:27.181340,0
10,35,Laptop,14,78,19,2024-03-19 17:51:27.216919,0
10,36,Laptop,12,78,19,2024-03-19 17:51:27.253906,0
10,33,Laptop,7,78,19,2024-03-19 17:51:27.287762,0
10,32,Laptop,5,78,19,2024-03-19 17:51:27.321034,0
10,31,Laptop,6,78,19,2024-03-19 17:51:27.353040,0
10,30,Laptop,7,78,19,2024-03-19 17:51:27.384393,0
10,33,Laptop,13,78,19,2024-03-19 17:51:27.418161,0
10,34,Laptop,7,78,19,2024-03-19 17:51:27.453068,0
10,31,Laptop,7,78,19,2024-03-19 17:51:27.485429,0
10,31,Laptop,5,78,19,2024-03-19 17:51:27.517551,0
10,32,Laptop,6,78,19,2024-03-19 17:51:27.549957,0
10,30,Laptop,6,78,19,2024-03-19 17:51:27.581351,0
10,33,Laptop,18,78,20,2024-03-19 17:51:27.615128,0
10,36,Laptop,22,78,20,2024-03-19 17:51:27.652035,0
10,32,Laptop,9,78,19,2024-03-19 17:51:27.685010,0
10,31,Laptop,9,78,19,2024-03-19 17:51:27.717354,0
10,31,Laptop,7,78,19,2024-03-19 17:51:27.749478,0
10,32,Laptop,5,78,19,2024-03-19 17:51:27.782366,0
10,31,Laptop,11,78,19,2024-03-19 17:51:27.814696,0
10,33,Laptop,17,78,19,2024-03-19 17:51:27.849075,0
10,34,Laptop,15,78,19,2024-03-19 17:51:27.884042,0
10,30,Laptop,6,78,19,2024-03-19 17:51:27.915155,0
10,31,Laptop,7,78,19,2024-03-19 17:51:27.947370,0
10,30,Laptop,8,78,19,2024-03-19 17:51:27.978568,0
10,31,Laptop,7,78,19,2024-03-19 17:51:28.010683,0
10,36,Laptop,13,78,19,2024-03-19 17:51:28.047958,0
10,34,Laptop,13,78,19,2024-03-19 17:51:28.082793,0
10,32,Laptop,7,78,19,2024-03-19 17:51:28.115720,0
10,40,Laptop,9,78,19,2024-03-19 17:51:28.156428,0
10,32,Laptop,9,78,19,2024-03-19 17:51:28.189301,0
10,32,Laptop,9,78,19,2024-03-19 17:51:28.221720,0
10,32,Laptop,7,78,19,2024-03-19 17:51:28.255065,0
10,36,Laptop,10,78,19,2024-03-19 17:51:28.291699,0
10,33,Laptop,5,78,19,2024-03-19 17:51:28.325752,0
10,32,Laptop,10,78,19,2024-03-19 17:51:28.358771,0
10,31,Laptop,6,78,19,2024-03-19 17:51:28.390810,0
10,33,Laptop,7,78,19,2024-03-19 17:51:28.424696,0
10,34,Laptop,9,78,19,2024-03-19 17:51:28.459466,0
10,35,Laptop,8,78,19,2024-03-19 17:51:28.495912,0
10,34,Laptop,10,78,19,2024-03-19 17:51:28.530945,0
10,32,Laptop,5,78,19,2024-03-19 17:51:28.563351,0
10,32,Laptop,7,78,19,2024-03-19 17:51:28.596509,0
10,32,Laptop,7,78,19,2024-03-19 17:51:28.629100,0
10,32,Laptop,7,78,19,2024-03-19 17:51:28.661966,0
10,34,Laptop,9,78,19,2024-03-19 17:51:28.696775,0
10,34,Laptop,7,78,19,2024-03-19 17:51:28.731941,0
10,32,Laptop,7,78,19,2024-03-19 17:51:28.764847,0
10,42,Laptop,7,78,19,2024-03-19 17:51:28.807452,0
10,36,Laptop,6,78,19,2024-03-19 17:51:28.844309,0
10,38,Laptop,8,78,19,2024-03-19 17:51:28.883433,0
10,34,Laptop,10,78,19,2024-03-19 17:51:28.918343,0
10,33,Laptop,10,78,19,2024-03-19 17:51:28.952110,0
10,33,Laptop,7,78,19,2024-03-19 17:51:28.986526,0
