delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time
44,25,1080,Orin,27,72,6,65,False
39,25,1080,Orin,25,72,6,65,True
45,25,1080,Orin,24,72,6,65,False
45,25,1080,Orin,30,72,6,65,False
46,25,1080,Orin,20,72,6,65,False
45,25,1080,Orin,26,72,6,65,False
47,25,1080,Orin,27,72,6,65,False
45,25,1080,Orin,25,72,6,65,False
49,25,1080,Orin,27,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
44,25,1080,Orin,21,72,6,65,False
47,25,1080,Orin,27,72,6,65,False
44,25,1080,Orin,26,72,6,65,False
42,25,1080,Orin,25,72,6,65,False
40,25,1080,Orin,29,72,6,65,True
44,25,1080,Orin,26,72,6,65,False
47,25,1080,Orin,28,72,6,65,False
45,25,1080,Orin,21,72,6,65,False
46,25,1080,Orin,24,72,6,65,False
44,25,1080,Orin,27,72,6,65,False
49,25,1080,Orin,22,72,6,65,False
43,25,1080,Orin,24,72,6,65,False
48,25,1080,Orin,27,72,6,65,False
44,25,1080,Orin,25,72,6,65,False
40,25,1080,Orin,30,72,6,65,True
46,25,1080,Orin,21,72,6,65,False
44,25,1080,Orin,30,72,6,65,False
45,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,18,72,6,65,False
44,25,1080,Orin,30,72,6,65,False
39,25,1080,Orin,28,72,6,65,True
46,25,1080,Orin,30,72,6,65,False
45,25,1080,Orin,23,72,6,65,False
44,25,1080,Orin,29,72,6,65,False
40,25,1080,Orin,29,72,6,65,True
46,25,1080,Orin,30,72,6,65,False
46,25,1080,Orin,29,72,6,65,False
45,25,1080,Orin,28,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
45,25,1080,Orin,27,72,6,65,False
46,25,1080,Orin,26,72,6,65,False
44,25,1080,Orin,31,72,6,65,False
39,25,1080,Orin,31,72,6,65,True
41,25,1080,Orin,21,72,6,65,False
45,25,1080,Orin,21,72,6,65,False
45,25,1080,Orin,27,72,6,65,False
45,25,1080,Orin,25,72,6,65,False
43,25,1080,Orin,27,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
44,25,1080,Orin,28,72,6,65,False
39,25,1080,Orin,25,72,6,65,True
47,25,1080,Orin,25,72,6,65,False
44,25,1080,Orin,27,72,6,65,False
39,25,1080,Orin,28,72,6,65,True
46,25,1080,Orin,29,72,6,65,False
44,25,1080,Orin,21,72,6,65,False
39,25,1080,Orin,28,72,6,65,True
46,25,1080,Orin,23,72,6,65,False
43,25,1080,Orin,25,72,6,65,False
41,25,1080,Orin,25,72,6,65,False
45,25,1080,Orin,27,72,6,65,False
43,25,1080,Orin,26,72,6,65,False
41,25,1080,Orin,32,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
43,25,1080,Orin,25,72,6,65,False
39,25,1080,Orin,23,72,6,65,True
45,25,1080,Orin,21,72,6,65,False
44,25,1080,Orin,30,72,6,65,False
39,25,1080,Orin,27,72,6,65,True
46,25,1080,Orin,23,72,6,65,False
43,25,1080,Orin,29,72,6,65,False
39,25,1080,Orin,24,72,6,65,True
46,25,1080,Orin,22,72,6,65,False
45,25,1080,Orin,28,72,6,65,False
46,25,1080,Orin,27,72,6,65,False
45,25,1080,Orin,21,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
44,25,1080,Orin,24,72,6,65,False
39,25,1080,Orin,25,72,6,65,True
46,25,1080,Orin,27,72,6,65,False
43,25,1080,Orin,21,72,6,65,False
46,25,1080,Orin,20,72,6,65,False
43,25,1080,Orin,27,72,6,65,False
39,25,1080,Orin,25,72,6,65,True
46,25,1080,Orin,27,72,6,65,False
44,25,1080,Orin,31,72,6,65,False
39,25,1080,Orin,31,72,6,65,True
46,25,1080,Orin,26,72,6,65,False
43,25,1080,Orin,27,72,6,65,False
40,25,1080,Orin,25,72,6,65,True
46,25,1080,Orin,23,72,6,65,False
44,25,1080,Orin,24,72,6,65,False
39,25,1080,Orin,23,72,6,65,True
46,25,1080,Orin,25,72,6,65,False
44,25,1080,Orin,30,72,6,65,False
46,25,1080,Orin,23,72,6,65,False
43,25,1080,Orin,27,72,6,65,False
39,25,1080,Orin,20,72,6,65,True
43,25,1080,Orin,27,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
47,25,1080,Orin,24,72,6,65,False
43,25,1080,Orin,29,72,6,65,False
41,25,1080,Orin,30,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
44,25,1080,Orin,24,72,6,65,False
45,25,1080,Orin,25,72,6,65,False
45,25,1080,Orin,26,72,6,65,False
44,25,1080,Orin,23,72,6,65,False
45,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,23,72,6,65,False
47,25,1080,Orin,27,72,6,65,False
45,25,1080,Orin,24,72,6,65,False
47,25,1080,Orin,27,72,6,65,False
46,25,1080,Orin,26,72,6,65,False
46,25,1080,Orin,22,72,6,65,False
45,25,1080,Orin,27,72,6,65,False
48,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,27,72,6,65,False
47,25,1080,Orin,22,72,6,65,False
46,25,1080,Orin,35,72,6,65,False
47,25,1080,Orin,18,72,6,65,False
45,25,1080,Orin,30,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,26,72,6,65,False
46,25,1080,Orin,22,72,6,65,False
47,25,1080,Orin,22,72,6,65,False
47,25,1080,Orin,27,72,6,65,False
44,25,1080,Orin,30,72,6,65,False
42,25,1080,Orin,25,72,6,65,False
47,25,1080,Orin,32,72,6,65,False
47,25,1080,Orin,25,72,6,65,False
49,25,1080,Orin,28,72,6,65,False
47,25,1080,Orin,25,72,6,65,False
48,25,1080,Orin,20,72,6,65,False
45,25,1080,Orin,27,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
44,25,1080,Orin,26,72,6,65,False
40,25,1080,Orin,29,72,6,65,True
47,25,1080,Orin,23,72,6,65,False
44,25,1080,Orin,28,72,6,65,False
47,25,1080,Orin,21,72,6,65,False
44,25,1080,Orin,31,72,6,65,False
40,25,1080,Orin,29,72,6,65,True
46,25,1080,Orin,18,72,6,65,False
48,25,1080,Orin,27,72,6,65,False
45,25,1080,Orin,24,72,6,65,False
44,25,1080,Orin,26,72,6,65,False
44,25,1080,Orin,18,72,6,65,False
41,25,1080,Orin,28,72,6,65,False
47,25,1080,Orin,25,72,6,65,False
45,25,1080,Orin,24,72,6,65,False
47,25,1080,Orin,18,72,6,65,False
46,25,1080,Orin,23,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
45,25,1080,Orin,26,72,6,65,False
48,25,1080,Orin,23,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
47,25,1080,Orin,29,72,6,65,False
44,25,1080,Orin,23,72,6,65,False
40,25,1080,Orin,30,72,6,65,True
47,25,1080,Orin,22,72,6,65,False
45,25,1080,Orin,30,72,6,65,False
46,25,1080,Orin,26,72,6,65,False
49,25,1080,Orin,26,72,6,65,False
47,25,1080,Orin,25,72,6,65,False
47,25,1080,Orin,22,72,6,65,False
45,25,1080,Orin,18,72,6,65,False
47,25,1080,Orin,29,72,6,65,False
44,25,1080,Orin,19,72,6,65,False
40,25,1080,Orin,30,72,6,65,True
48,25,1080,Orin,22,72,6,65,False
47,25,1080,Orin,23,72,6,65,False
45,25,1080,Orin,20,72,6,65,False
46,25,1080,Orin,29,72,6,65,False
45,25,1080,Orin,23,72,6,65,False
49,25,1080,Orin,22,72,6,65,False
47,25,1080,Orin,25,72,6,65,False
47,25,1080,Orin,27,72,6,65,False
45,25,1080,Orin,20,72,6,65,False
47,25,1080,Orin,29,72,6,65,False
46,25,1080,Orin,27,72,6,65,False
46,25,1080,Orin,27,72,6,65,False
45,25,1080,Orin,28,72,6,65,False
46,25,1080,Orin,24,72,6,65,False
49,25,1080,Orin,27,72,6,65,False
47,25,1080,Orin,25,72,6,65,False
48,25,1080,Orin,25,72,6,65,False
45,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,23,72,6,65,False
44,25,1080,Orin,25,72,6,65,False
40,25,1080,Orin,27,72,6,65,True
47,25,1080,Orin,25,72,6,65,False
48,25,1080,Orin,22,72,6,65,False
45,25,1080,Orin,25,72,6,65,False
49,25,1080,Orin,24,72,6,65,False
47,25,1080,Orin,22,72,6,65,False
48,25,1080,Orin,28,72,6,65,False
49,25,1080,Orin,25,72,6,65,False
47,25,1080,Orin,22,72,6,65,False
47,25,1080,Orin,25,72,6,65,False
45,25,1080,Orin,22,72,6,65,False
47,25,1080,Orin,23,72,6,65,False
47,25,1080,Orin,18,72,6,65,False
46,25,1080,Orin,22,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,22,72,6,65,False
40,30,1080,Orin,52,72,7,75,False
46,30,1080,Orin,26,72,6,75,False
43,30,1080,Orin,26,72,6,75,False
40,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,22,72,6,75,False
44,30,1080,Orin,28,72,6,75,False
40,30,1080,Orin,23,72,6,75,False
46,30,1080,Orin,28,72,6,75,False
44,30,1080,Orin,21,72,6,75,False
43,30,1080,Orin,25,72,6,75,False
42,30,1080,Orin,30,72,6,75,False
46,30,1080,Orin,23,72,6,75,False
47,30,1080,Orin,29,72,6,75,False
43,30,1080,Orin,27,72,6,75,False
38,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,26,72,6,75,False
47,30,1080,Orin,28,72,6,75,False
46,30,1080,Orin,21,72,6,75,False
46,30,1080,Orin,29,72,6,75,False
44,30,1080,Orin,27,72,6,75,False
39,30,1080,Orin,29,72,6,75,False
42,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,28,72,6,75,False
48,30,1080,Orin,27,72,6,75,False
45,30,1080,Orin,21,72,6,75,False
43,30,1080,Orin,29,72,6,75,False
39,30,1080,Orin,26,72,6,75,False
45,30,1080,Orin,30,72,6,75,False
43,30,1080,Orin,32,72,6,75,False
40,30,1080,Orin,31,72,6,75,False
44,30,1080,Orin,23,72,6,75,False
44,30,1080,Orin,27,72,6,75,False
38,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,27,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,23,72,6,75,False
46,30,1080,Orin,29,72,6,75,False
44,30,1080,Orin,24,72,6,75,False
40,30,1080,Orin,25,72,6,75,False
48,30,1080,Orin,31,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
39,30,1080,Orin,21,72,6,75,False
44,30,1080,Orin,21,72,6,75,False
48,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,22,72,6,75,False
46,30,1080,Orin,22,72,6,75,False
46,30,1080,Orin,26,72,6,75,False
47,30,1080,Orin,27,72,6,75,False
44,30,1080,Orin,25,72,6,75,False
47,30,1080,Orin,26,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
42,30,1080,Orin,27,72,6,75,False
40,30,1080,Orin,20,72,6,75,False
43,30,1080,Orin,27,72,6,75,False
39,30,1080,Orin,23,72,6,75,False
48,30,1080,Orin,27,72,6,75,False
44,30,1080,Orin,24,72,6,75,False
46,30,1080,Orin,21,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
49,30,1080,Orin,25,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
48,30,1080,Orin,29,72,6,75,False
45,30,1080,Orin,25,72,6,75,False
43,30,1080,Orin,29,72,6,75,False
39,30,1080,Orin,23,72,6,75,False
45,30,1080,Orin,25,72,6,75,False
44,30,1080,Orin,30,72,6,75,False
40,30,1080,Orin,24,72,6,75,False
48,30,1080,Orin,27,72,6,75,False
48,30,1080,Orin,25,72,6,75,False
45,30,1080,Orin,29,72,6,75,False
41,30,1080,Orin,32,72,6,75,False
42,30,1080,Orin,29,72,6,75,False
46,30,1080,Orin,26,72,6,75,False
47,30,1080,Orin,21,72,6,75,False
45,30,1080,Orin,26,72,6,75,False
46,30,1080,Orin,23,72,6,75,False
45,30,1080,Orin,25,72,6,75,False
44,30,1080,Orin,24,72,6,75,False
45,30,1080,Orin,27,72,6,75,False
43,30,1080,Orin,29,72,6,75,False
40,30,1080,Orin,28,72,6,75,False
40,30,1080,Orin,27,72,6,75,False
46,30,1080,Orin,24,72,6,75,False
44,30,1080,Orin,30,72,6,75,False
47,30,1080,Orin,28,72,6,75,False
43,30,1080,Orin,24,72,6,75,False
40,30,1080,Orin,29,72,6,75,False
47,30,1080,Orin,33,72,6,75,False
47,30,1080,Orin,23,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
47,30,1080,Orin,30,72,6,75,False
44,30,1080,Orin,23,72,6,75,False
43,30,1080,Orin,24,72,6,75,False
39,30,1080,Orin,21,72,6,75,False
45,30,1080,Orin,25,72,6,75,False
44,30,1080,Orin,34,72,6,75,False
47,30,1080,Orin,30,72,6,75,False
44,30,1080,Orin,22,72,6,75,False
45,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,23,72,6,75,False
46,30,1080,Orin,27,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
42,30,1080,Orin,25,72,6,75,False
41,30,1080,Orin,25,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,22,72,6,75,False
46,30,1080,Orin,29,72,6,75,False
46,30,1080,Orin,26,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
45,30,1080,Orin,18,72,6,75,False
43,30,1080,Orin,26,72,6,75,False
40,30,1080,Orin,30,72,6,75,False
49,30,1080,Orin,27,72,6,75,False
45,30,1080,Orin,26,72,6,75,False
46,30,1080,Orin,28,72,6,75,False
45,30,1080,Orin,24,72,6,75,False
48,30,1080,Orin,28,72,6,75,False
44,30,1080,Orin,27,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
43,30,1080,Orin,25,72,6,75,False
41,30,1080,Orin,25,72,6,75,False
41,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
48,30,1080,Orin,28,72,6,75,False
45,30,1080,Orin,31,72,6,75,False
46,30,1080,Orin,20,72,6,75,False
45,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,22,72,6,75,False
45,30,1080,Orin,23,72,6,75,False
44,30,1080,Orin,33,72,6,75,False
47,30,1080,Orin,30,72,6,75,False
42,30,1080,Orin,26,72,6,75,False
40,30,1080,Orin,27,72,6,75,False
46,30,1080,Orin,23,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
39,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,22,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
39,30,1080,Orin,24,72,6,75,False
46,30,1080,Orin,31,72,6,75,False
44,30,1080,Orin,21,72,6,75,False
46,30,1080,Orin,19,72,6,75,False
43,30,1080,Orin,31,72,6,75,False
40,30,1080,Orin,29,72,6,75,False
48,30,1080,Orin,25,72,6,75,False
43,30,1080,Orin,26,72,6,75,False
39,30,1080,Orin,22,72,6,75,False
47,30,1080,Orin,26,72,6,75,False
44,30,1080,Orin,31,72,6,75,False
45,30,1080,Orin,22,72,6,75,False
44,30,1080,Orin,25,72,6,75,False
39,30,1080,Orin,23,72,6,75,False
48,30,1080,Orin,20,72,6,75,False
44,30,1080,Orin,23,72,6,75,False
39,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,22,72,6,75,False
44,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,20,72,6,75,False
45,30,1080,Orin,25,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
44,30,1080,Orin,25,72,6,75,False
40,30,1080,Orin,23,72,6,75,False
46,30,1080,Orin,23,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
43,30,1080,Orin,19,72,6,75,False
39,30,1080,Orin,25,72,6,75,False
43,30,1080,Orin,26,72,6,75,False
41,30,1080,Orin,28,72,6,75,False
48,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,24,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
43,30,1080,Orin,24,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
43,30,1080,Orin,27,72,6,75,False
42,30,1080,Orin,28,72,6,75,False
40,30,1080,Orin,28,72,6,75,False
44,30,1080,Orin,21,72,6,75,False
39,30,1080,Orin,30,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
44,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
44,30,1080,Orin,25,72,6,75,False
39,30,1080,Orin,28,72,6,75,False
49,30,1080,Orin,22,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
44,30,1080,Orin,24,72,6,75,False
40,30,1080,Orin,23,72,6,75,False
46,30,1080,Orin,26,72,6,75,False
46,30,1080,Orin,22,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,27,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
44,30,1080,Orin,28,72,6,75,False
40,30,1080,Orin,38,72,6,75,False
48,30,1080,Orin,22,72,6,75,False
42,30,1080,Orin,27,72,6,75,False
42,30,1080,Orin,27,72,6,75,False
46,30,1080,Orin,23,72,6,75,False
44,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,30,72,6,75,False
45,30,1080,Orin,23,72,6,75,False
44,30,1080,Orin,28,72,6,75,False
46,30,1080,Orin,21,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
45,30,1080,Orin,25,72,6,75,False
40,30,1080,Orin,28,72,6,75,False
44,30,1080,Orin,24,72,6,75,False
47,30,1080,Orin,27,72,6,75,False
46,30,1080,Orin,27,72,6,75,False
46,30,1080,Orin,18,72,6,75,False
44,30,1080,Orin,30,72,6,75,False
47,30,1080,Orin,23,72,6,75,False
44,30,1080,Orin,25,72,6,75,False
45,30,1080,Orin,26,72,6,75,False
49,30,1080,Orin,24,72,6,75,False
46,30,1080,Orin,28,72,6,75,False
46,30,1080,Orin,27,72,6,75,False
48,30,1080,Orin,23,72,6,75,False
48,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,22,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
45,30,1080,Orin,23,72,6,75,False
48,30,1080,Orin,30,72,6,75,False
45,30,1080,Orin,27,72,6,75,False
51,30,1080,Orin,26,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
48,30,1080,Orin,27,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,27,72,6,75,False
44,30,1080,Orin,25,72,6,75,False
41,30,1080,Orin,32,72,6,75,False
45,30,1080,Orin,21,72,6,75,False
49,30,1080,Orin,25,72,6,75,False
48,30,1080,Orin,25,72,6,75,False
47,30,1080,Orin,27,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
40,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,32,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
48,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,22,72,6,75,False
45,30,1080,Orin,25,72,6,75,False
47,30,1080,Orin,27,72,6,75,False
46,30,1080,Orin,29,72,6,75,False
49,30,1080,Orin,27,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
48,30,1080,Orin,24,72,6,75,False
46,30,1080,Orin,27,72,6,75,False
46,30,1080,Orin,25,72,6,75,False
45,30,1080,Orin,21,72,6,75,False
47,30,1080,Orin,25,72,6,75,False
46,30,1080,Orin,30,72,6,75,False
49,30,1080,Orin,25,72,6,75,False
48,30,1080,Orin,27,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
48,30,1080,Orin,17,72,6,75,False
44,30,1080,Orin,24,72,6,75,False
47,30,1080,Orin,24,72,6,75,False
45,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,28,72,6,75,False
46,30,1080,Orin,28,72,6,75,False
47,30,1080,Orin,22,72,6,75,False
45,30,1080,Orin,26,72,6,75,False
48,30,1080,Orin,23,72,6,75,False
45,30,1080,Orin,27,72,6,75,False
46,30,1080,Orin,18,72,6,75,False
44,30,1080,Orin,26,72,6,75,False
47,30,1080,Orin,22,72,6,75,False
44,30,1080,Orin,36,72,6,75,False
47,30,1080,Orin,20,72,6,75,False
44,30,1080,Orin,27,72,6,75,False
48,30,1080,Orin,27,72,6,75,False
48,30,1080,Orin,20,72,6,75,False
47,30,1080,Orin,23,72,6,75,False
42,30,1080,Orin,21,72,6,75,False
42,30,1080,Orin,18,72,6,75,False
46,30,1080,Orin,22,72,6,75,False
47,30,1080,Orin,19,72,6,75,False
46,30,1080,Orin,22,72,6,75,False
49,30,1080,Orin,22,72,6,75,False
41,35,1080,Orin,54,72,7,80,False
45,35,1080,Orin,25,72,6,80,False
44,35,1080,Orin,26,72,6,80,False
45,35,1080,Orin,28,72,6,80,False
47,35,1080,Orin,25,72,6,80,False
44,35,1080,Orin,26,72,6,80,False
45,35,1080,Orin,25,72,6,80,False
43,35,1080,Orin,21,72,6,80,False
38,35,1080,Orin,30,72,6,80,False
45,35,1080,Orin,25,72,6,80,False
44,35,1080,Orin,21,72,6,80,False
38,35,1080,Orin,30,72,6,80,False
46,35,1080,Orin,28,72,6,80,False
44,35,1080,Orin,21,72,6,80,False
38,35,1080,Orin,24,72,6,80,False
44,35,1080,Orin,29,72,6,80,False
38,35,1080,Orin,21,72,6,80,False
45,35,1080,Orin,24,72,6,80,False
42,35,1080,Orin,24,72,6,80,False
38,35,1080,Orin,38,72,6,80,False
48,35,1080,Orin,41,72,7,80,False
49,35,1080,Orin,39,72,6,80,False
45,35,1080,Orin,28,72,6,80,False
44,35,1080,Orin,26,72,6,80,False
45,35,1080,Orin,26,72,6,80,False
40,35,1080,Orin,31,72,6,80,False
47,35,1080,Orin,20,72,6,80,False
45,35,1080,Orin,24,72,6,80,False
45,35,1080,Orin,28,72,6,80,False
46,35,1080,Orin,22,72,6,80,False
44,35,1080,Orin,32,72,6,80,False
47,35,1080,Orin,25,72,6,80,False
44,35,1080,Orin,27,72,6,80,False
38,35,1080,Orin,31,72,6,80,False
45,35,1080,Orin,23,72,6,80,False
45,35,1080,Orin,28,72,6,80,False
46,35,1080,Orin,24,72,6,80,False
44,35,1080,Orin,25,72,6,80,False
39,35,1080,Orin,28,72,6,80,False
47,35,1080,Orin,28,72,6,80,False
43,35,1080,Orin,23,72,6,80,False
38,35,1080,Orin,29,72,6,80,False
46,35,1080,Orin,27,72,6,80,False
44,35,1080,Orin,27,72,6,80,False
39,35,1080,Orin,24,72,6,80,False
44,35,1080,Orin,25,72,6,80,False
47,35,1080,Orin,31,72,6,80,False
45,35,1080,Orin,27,72,6,80,False
43,35,1080,Orin,24,72,6,80,False
38,35,1080,Orin,26,72,6,80,False
46,35,1080,Orin,22,72,6,80,False
45,35,1080,Orin,32,72,6,80,False
45,35,1080,Orin,27,72,6,80,False
45,35,1080,Orin,21,72,6,80,False
47,35,1080,Orin,28,72,6,80,False
45,35,1080,Orin,25,72,6,80,False
41,35,1080,Orin,28,72,6,80,False
41,35,1080,Orin,20,72,6,80,False
46,35,1080,Orin,27,72,6,80,False
46,35,1080,Orin,21,72,6,80,False
47,35,1080,Orin,25,72,6,80,False
44,35,1080,Orin,27,72,6,80,False
46,35,1080,Orin,23,72,6,80,False
45,35,1080,Orin,26,72,6,80,False
46,35,1080,Orin,25,72,6,80,False
46,35,1080,Orin,25,72,6,80,False
45,35,1080,Orin,23,72,6,80,False
44,35,1080,Orin,24,72,6,80,False
39,35,1080,Orin,14,72,6,80,False
46,35,1080,Orin,31,72,6,80,False
45,35,1080,Orin,29,72,6,80,False
43,35,1080,Orin,29,72,6,80,False
41,35,1080,Orin,28,72,6,80,False
44,35,1080,Orin,26,72,6,80,False
38,35,1080,Orin,29,72,6,80,False
47,35,1080,Orin,23,72,6,80,False
44,35,1080,Orin,31,72,6,80,False
38,35,1080,Orin,29,72,6,80,False
45,35,1080,Orin,23,72,6,80,False
44,35,1080,Orin,24,72,6,80,False
46,35,1080,Orin,27,72,6,80,False
44,35,1080,Orin,25,72,6,80,False
46,35,1080,Orin,23,72,6,80,False
45,35,1080,Orin,21,72,6,80,False
46,35,1080,Orin,23,72,6,80,False
46,35,1080,Orin,25,72,6,80,False
46,35,1080,Orin,22,72,6,80,False
46,35,1080,Orin,25,72,6,80,False
49,35,1080,Orin,25,72,6,80,False
43,35,1080,Orin,26,72,6,80,False
39,35,1080,Orin,29,72,6,80,False
45,35,1080,Orin,23,72,6,80,False
44,35,1080,Orin,25,72,6,80,False
43,35,1080,Orin,26,72,6,80,False
40,35,1080,Orin,19,72,6,80,False
44,35,1080,Orin,26,72,6,80,False
39,35,1080,Orin,25,72,6,80,False
46,35,1080,Orin,25,72,6,80,False
44,35,1080,Orin,30,72,6,80,False
41,35,1080,Orin,26,72,6,80,False
44,35,1080,Orin,27,72,6,80,False
44,35,1080,Orin,28,72,6,80,False
40,35,1080,Orin,23,72,6,80,False
47,35,1080,Orin,27,72,6,80,False
44,35,1080,Orin,24,72,6,80,False
47,35,1080,Orin,25,72,6,80,False
45,35,1080,Orin,26,72,6,80,False
45,35,1080,Orin,31,72,6,80,False
46,35,1080,Orin,25,72,6,80,False
46,35,1080,Orin,26,72,6,80,False
45,35,1080,Orin,28,72,6,80,False
40,35,1080,Orin,31,72,6,80,False
48,35,1080,Orin,22,72,6,80,False
45,35,1080,Orin,33,72,6,80,False
47,35,1080,Orin,23,72,6,80,False
44,35,1080,Orin,29,72,6,80,False
45,35,1080,Orin,27,72,6,80,False
46,35,1080,Orin,26,72,6,80,False
46,35,1080,Orin,22,72,6,80,False
45,35,1080,Orin,26,72,6,80,False
43,35,1080,Orin,28,72,6,80,False
40,35,1080,Orin,20,72,6,80,False
44,35,1080,Orin,26,72,6,80,False
39,35,1080,Orin,31,72,6,80,False
48,35,1080,Orin,20,72,6,80,False
45,35,1080,Orin,30,72,6,80,False
48,35,1080,Orin,20,72,6,80,False
44,35,1080,Orin,25,72,6,80,False
47,35,1080,Orin,22,72,6,80,False
45,35,1080,Orin,29,72,6,80,False
46,35,1080,Orin,25,72,6,80,False
43,35,1080,Orin,25,72,6,80,False
39,35,1080,Orin,27,72,6,80,False
48,35,1080,Orin,24,72,6,80,False
44,35,1080,Orin,18,72,6,80,False
47,35,1080,Orin,31,72,6,80,False
45,35,1080,Orin,26,72,6,80,False
46,35,1080,Orin,25,72,6,80,False
43,35,1080,Orin,27,72,6,80,False
48,35,1080,Orin,25,72,6,80,False
47,35,1080,Orin,23,72,6,80,False
45,35,1080,Orin,31,72,6,80,False
38,35,1080,Orin,25,72,6,80,False
45,35,1080,Orin,24,72,6,80,False
46,35,1080,Orin,25,72,6,80,False
43,35,1080,Orin,27,72,6,80,False
39,35,1080,Orin,30,72,6,80,False
47,35,1080,Orin,29,72,6,80,False
46,35,1080,Orin,23,72,6,80,False
48,35,1080,Orin,28,72,6,80,False
44,35,1080,Orin,29,72,6,80,False
43,35,1080,Orin,22,72,6,80,False
39,35,1080,Orin,27,72,6,80,False
44,35,1080,Orin,26,72,6,80,False
40,35,1080,Orin,28,72,6,80,False
44,35,1080,Orin,27,72,6,80,False
40,35,1080,Orin,23,72,6,80,False
45,35,1080,Orin,30,72,6,80,False
49,35,1080,Orin,27,72,6,80,False
44,35,1080,Orin,27,72,6,80,False
47,35,1080,Orin,27,72,6,80,False
47,35,1080,Orin,25,72,6,80,False
44,35,1080,Orin,25,72,6,80,False
44,35,1080,Orin,21,72,6,80,False
47,35,1080,Orin,27,72,6,80,False
