delta,isentropic,data_size,fig_size,device_type,cpu,memory,consumption,timestamp,gpu
28,1,30,10,Laptop,7,37,19,2024-03-21 15:15:02.910900,0
28,1,30,10,Laptop,7,38,19,2024-03-21 15:15:03.196504,0
27,1,30,10,Laptop,6,38,19,2024-03-21 15:15:03.476225,0
28,1,30,10,Laptop,6,38,19,2024-03-21 15:15:03.757700,0
28,1,30,10,Laptop,6,37,19,2024-03-21 15:15:04.041754,0
29,1,30,10,Laptop,7,37,19,2024-03-21 15:15:04.336149,0
29,1,30,10,Laptop,6,38,19,2024-03-21 15:15:04.629648,0
27,1,30,10,Laptop,6,38,19,2024-03-21 15:15:04.909393,0
28,1,30,10,Laptop,6,38,19,2024-03-21 15:15:05.199785,0
29,1,30,20,Laptop,6,38,19,2024-03-21 15:15:05.491251,0
29,1,30,20,Laptop,6,38,19,2024-03-21 15:15:05.786780,0
30,1,30,20,Laptop,6,38,19,2024-03-21 15:15:06.089505,0
49,1,30,20,Laptop,6,31,19,2024-03-21 15:15:06.584111,0
27,1,30,20,Laptop,6,31,19,2024-03-21 15:15:06.856744,0
27,1,30,20,Laptop,7,31,19,2024-03-21 15:15:07.133515,0
27,1,30,20,Laptop,7,31,19,2024-03-21 15:15:07.411219,0
27,1,30,20,Laptop,6,32,19,2024-03-21 15:15:07.691645,0
28,1,30,20,Laptop,6,31,19,2024-03-21 15:15:07.975659,0
28,1,30,20,Laptop,6,31,19,2024-03-21 15:15:08.259260,0
32,1,30,50,Laptop,7,32,19,2024-03-21 15:15:08.588321,0
32,1,30,50,Laptop,6,32,19,2024-03-21 15:15:08.914535,0
31,1,30,50,Laptop,6,32,19,2024-03-21 15:15:09.231510,0
32,1,30,50,Laptop,6,32,19,2024-03-21 15:15:09.554853,0
32,1,30,50,Laptop,6,32,19,2024-03-21 15:15:09.881837,0
31,1,30,50,Laptop,6,33,19,2024-03-21 15:15:10.198245,0
31,1,30,50,Laptop,6,33,19,2024-03-21 15:15:10.512372,0
32,1,30,50,Laptop,6,33,19,2024-03-21 15:15:10.836747,0
31,1,30,50,Laptop,6,33,19,2024-03-21 15:15:11.153992,0
31,1,30,50,Laptop,6,34,19,2024-03-21 15:15:11.470318,0
38,1,30,80,Laptop,7,34,19,2024-03-21 15:15:11.860004,0
37,1,30,80,Laptop,6,35,19,2024-03-21 15:15:12.234496,0
37,1,30,80,Laptop,6,35,19,2024-03-21 15:15:12.613874,0
38,1,30,80,Laptop,6,35,19,2024-03-21 15:15:12.997914,0
37,1,30,80,Laptop,6,36,19,2024-03-21 15:15:13.368779,0
38,1,30,80,Laptop,6,36,19,2024-03-21 15:15:13.751488,0
38,1,30,80,Laptop,6,36,19,2024-03-21 15:15:14.134754,0
37,1,30,80,Laptop,6,36,19,2024-03-21 15:15:14.506000,0
39,1,30,80,Laptop,7,36,19,2024-03-21 15:15:14.904669,0
37,1,30,80,Laptop,6,37,19,2024-03-21 15:15:15.283098,0
19,10,5,1,Laptop,6,37,19,2024-03-21 15:15:15.544005,0
19,10,5,1,Laptop,6,37,19,2024-03-21 15:15:15.738428,0
19,10,5,1,Laptop,7,37,19,2024-03-21 15:15:15.936952,0
19,10,5,1,Laptop,6,37,19,2024-03-21 15:15:16.135380,0
19,10,5,1,Laptop,6,37,19,2024-03-21 15:15:16.331910,0
19,10,5,1,Laptop,7,37,19,2024-03-21 15:15:16.531574,0
19,10,5,1,Laptop,6,37,19,2024-03-21 15:15:16.727258,0
19,10,5,1,Laptop,7,37,19,2024-03-21 15:15:16.925036,0
19,10,5,1,Laptop,6,37,19,2024-03-21 15:15:17.122763,0
19,10,5,1,Laptop,7,37,19,2024-03-21 15:15:17.317811,0
19,10,5,10,Laptop,6,37,19,2024-03-21 15:15:17.512704,0
20,10,5,10,Laptop,6,37,19,2024-03-21 15:15:17.716191,0
19,10,5,10,Laptop,6,37,19,2024-03-21 15:15:17.914908,0
38,10,5,10,Laptop,6,31,19,2024-03-21 15:15:18.300324,0
19,10,5,10,Laptop,6,31,19,2024-03-21 15:15:18.494931,0
19,10,5,10,Laptop,6,31,19,2024-03-21 15:15:18.692254,0
19,10,5,10,Laptop,6,31,19,2024-03-21 15:15:18.888378,0
19,10,5,10,Laptop,6,31,19,2024-03-21 15:15:19.088235,0
19,10,5,10,Laptop,6,31,19,2024-03-21 15:15:19.282900,0
19,10,5,10,Laptop,7,31,19,2024-03-21 15:15:19.478623,0
20,10,5,20,Laptop,6,31,19,2024-03-21 15:15:19.679162,0
19,10,5,20,Laptop,7,31,19,2024-03-21 15:15:19.877475,0
19,10,5,20,Laptop,6,31,19,2024-03-21 15:15:20.077666,0
20,10,5,20,Laptop,6,31,19,2024-03-21 15:15:20.278608,0
20,10,5,20,Laptop,7,31,19,2024-03-21 15:15:20.480681,0
