delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy,consumption_all,delta_privacy
32,20,480,Orin,23,72,6,40,True,85,7,14,14,33
36,25,720,Orin,28,72,6,65,True,93,9,22,22,37
45,25,1080,Orin,26,72,6,65,False,108,12,22,22,43
31,35,720,Orin,32,72,6,80,False,87,11,26,26,36
46,30,1080,Orin,25,72,6,75,False,108,13,26,26,42
33,30,480,Orin,26,72,6,75,True,86,9,26,26,33
47,35,1080,Orin,27,72,6,80,False,110,14,26,26,43
39,25,720,Orin,28,72,6,65,True,93,9,22,22,34
29,30,480,Orin,30,72,6,75,True,79,9,26,26,30
33,15,720,Orin,18,72,6,30,True,86,7,14,14,33
29,15,480,Orin,16,72,6,30,True,79,6,14,14,30
38,35,720,Orin,28,72,6,80,False,94,11,26,26,36
47,25,1080,Orin,25,72,6,65,False,110,12,22,22,43
30,20,480,Orin,25,72,6,40,True,81,7,14,14,31
30,15,480,Orin,18,72,6,30,True,81,6,14,14,31
29,30,480,Orin,30,72,6,75,True,84,9,26,26,35
35,35,480,Orin,31,72,6,80,False,89,10,26,26,34
30,20,480,Orin,23,72,6,40,True,82,7,14,14,32
32,25,720,Orin,29,72,6,65,True,89,9,22,22,37
39,35,1080,Orin,29,72,6,80,False,104,14,26,26,45
45,25,1080,Orin,28,72,6,65,False,107,12,22,22,42
37,30,720,Orin,28,72,6,75,False,93,10,26,26,36
30,30,480,Orin,29,72,6,75,True,82,9,26,26,32
33,35,720,Orin,34,72,6,80,False,89,11,26,26,36
34,15,720,Orin,18,72,6,30,True,88,7,14,14,34
31,20,480,Orin,23,72,6,40,True,81,7,14,14,30
48,30,1080,Orin,25,72,6,75,False,112,13,26,26,44
36,20,720,Orin,26,72,6,40,True,92,8,14,14,36
30,15,480,Orin,22,72,6,30,True,79,6,14,14,29
47,20,1080,Orin,22,72,6,40,True,110,11,14,14,43
34,20,720,Orin,25,72,6,40,True,90,8,14,14,36
32,25,720,Orin,32,72,6,65,True,88,9,22,22,36
36,20,720,Orin,30,72,6,40,True,93,8,14,14,37
30,30,480,Orin,29,72,6,75,True,80,9,26,26,30
28,35,480,Orin,30,72,6,80,True,78,10,26,26,30
45,20,1080,Orin,26,72,6,40,True,109,11,14,14,44
33,15,720,Orin,20,72,6,30,True,85,7,14,14,32
44,30,1080,Orin,26,72,6,75,False,106,13,26,26,42
33,30,720,Orin,34,72,6,75,True,89,10,26,26,36
28,25,480,Orin,11,72,6,65,True,78,8,22,22,30
41,15,1080,Orin,17,71,6,30,True,104,10,14,14,43
47,20,1080,Orin,24,72,6,40,True,112,11,14,14,45
38,35,720,Orin,27,72,6,80,False,93,11,26,26,35
35,20,720,Orin,25,72,6,40,True,91,8,14,14,36
38,35,1080,Orin,29,72,6,80,False,100,14,26,26,42
41,15,1080,Orin,17,71,6,30,True,104,10,14,14,43
46,35,1080,Orin,20,72,6,80,False,109,14,26,26,43
30,35,480,Orin,30,72,6,80,False,84,10,26,26,34
46,20,1080,Orin,30,72,6,40,True,110,11,14,14,44
