delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy,consumption_all,delta_privacy
32,30,480,Orin,27,72,6,75,True,83,9,26,26,31
30,25,480,Orin,28,72,6,65,True,79,8,22,22,29
35,35,480,Orin,30,72,6,80,False,92,10,26,26,37
34,25,480,Orin,29,72,6,65,True,85,8,22,22,31
30,25,480,Orin,26,72,6,65,True,82,8,22,22,32
31,15,480,Orin,21,72,6,30,True,80,6,14,14,29
39,35,720,Orin,33,72,6,80,False,96,11,26,26,37
44,20,1080,Orin,27,72,6,40,True,108,11,14,14,44
33,15,720,Orin,18,72,6,30,True,89,7,14,14,36
37,35,480,Orin,26,72,6,80,False,94,10,26,26,37
29,20,480,Orin,23,72,6,40,True,79,7,14,14,30
34,20,720,Orin,25,72,6,40,True,89,8,14,14,35
40,15,1080,Orin,17,71,6,30,True,104,10,14,14,44
33,30,480,Orin,34,72,6,75,True,84,9,26,26,31
30,20,480,Orin,25,72,6,40,True,81,7,14,14,31
30,30,480,Orin,30,72,6,75,True,78,9,26,26,28
31,25,480,Orin,24,72,6,65,True,84,8,22,22,33
36,25,720,Orin,28,72,6,65,True,92,9,22,22,36
40,30,1080,Orin,25,72,6,75,False,105,13,26,26,45
32,35,480,Orin,25,72,6,80,False,83,10,26,26,31
43,35,1080,Orin,29,72,6,80,False,107,14,26,26,44
30,35,480,Orin,35,72,6,80,False,80,10,26,26,30
29,35,480,Orin,26,72,6,80,False,82,10,26,26,33
44,20,1080,Orin,20,72,6,40,True,107,11,14,14,43
32,35,480,Orin,33,72,6,80,False,83,10,26,26,31
34,20,720,Orin,29,72,6,40,True,89,8,14,14,35
34,30,720,Orin,33,72,6,75,False,90,10,26,26,36
40,15,1080,Orin,19,71,6,30,True,103,10,14,14,43
46,20,1080,Orin,23,72,6,40,True,111,11,14,14,45
35,25,720,Orin,26,72,6,65,True,91,9,22,22,36
30,30,480,Orin,33,72,6,75,True,84,9,26,26,34
48,30,1080,Orin,27,72,6,75,False,112,13,26,26,44
37,35,720,Orin,28,72,6,80,False,93,11,26,26,36
33,20,720,Orin,26,72,6,40,True,90,8,14,14,37
37,30,720,Orin,31,72,6,75,False,93,10,26,26,36
34,20,720,Orin,18,72,6,40,True,90,8,14,14,36
28,15,480,Orin,21,72,6,30,True,78,6,14,14,30
36,15,720,Orin,22,72,6,30,True,91,7,14,14,35
33,30,720,Orin,40,72,6,75,True,89,10,26,26,36
33,30,720,Orin,31,72,6,75,True,90,10,26,26,37
46,20,1080,Orin,21,72,6,40,True,107,11,14,14,41
30,30,480,Orin,50,72,7,75,True,83,9,27,27,33
30,20,480,Orin,25,72,6,40,True,81,7,14,14,31
30,20,480,Orin,21,72,6,40,True,80,7,14,14,30
34,25,480,Orin,27,72,6,65,True,85,8,22,22,31
42,25,1080,Orin,25,72,6,65,False,107,12,22,22,45
29,30,480,Orin,33,72,6,75,True,80,9,26,26,31
43,35,1080,Orin,26,72,6,80,False,106,14,26,26,43
45,30,1080,Orin,18,72,6,75,False,109,13,26,26,44
34,35,480,Orin,28,72,6,80,False,83,10,26,26,29
33,20,720,Orin,24,72,6,40,True,89,8,14,14,36
37,25,720,Orin,25,72,6,65,True,93,9,22,22,36
34,35,480,Orin,31,72,6,80,False,83,10,26,26,29
32,25,720,Orin,27,72,6,65,True,89,9,22,22,37
32,35,720,Orin,26,72,6,80,False,88,11,26,26,36
29,30,480,Orin,28,72,6,75,True,79,9,26,26,30
45,25,1080,Orin,26,72,6,65,False,109,12,22,22,44
45,25,1080,Orin,25,72,6,65,False,108,12,22,22,43
40,30,1080,Orin,28,72,6,75,False,103,13,26,26,43
33,30,480,Orin,29,72,6,75,True,83,9,26,26,30
28,15,480,Orin,18,72,6,30,True,77,6,14,14,29
36,15,720,Orin,20,72,6,30,True,90,7,14,14,34
36,15,720,Orin,19,72,6,30,True,90,7,14,14,34
45,30,1080,Orin,25,72,6,75,False,108,13,26,26,43
29,15,480,Orin,16,72,6,30,True,79,6,14,14,30
36,25,720,Orin,32,72,6,65,True,93,9,22,22,37
36,15,720,Orin,20,72,6,30,True,90,7,14,14,34
47,30,1080,Orin,27,72,6,75,False,111,13,26,26,44
30,20,480,Orin,25,72,6,40,True,80,7,14,14,30
34,15,720,Orin,20,72,6,30,True,88,7,14,14,34
47,35,1080,Orin,20,72,6,80,False,111,14,26,26,44
33,25,720,Orin,20,72,6,65,True,91,9,22,22,38
34,35,480,Orin,28,72,6,80,False,85,10,26,26,31
46,20,1080,Orin,21,72,6,40,True,108,11,14,14,42
46,30,1080,Orin,22,72,6,75,False,109,13,26,26,43
33,15,480,Orin,18,72,6,30,True,87,6,14,14,34
31,35,480,Orin,33,72,6,80,False,83,10,26,26,32
43,30,1080,Orin,31,72,6,75,False,107,13,26,26,44
42,15,1080,Orin,20,71,6,30,True,107,10,14,14,45
46,25,1080,Orin,25,72,6,65,False,110,12,22,22,44
31,35,480,Orin,37,72,6,80,False,85,10,26,26,34
32,25,720,Orin,35,72,6,65,True,90,9,22,22,38
31,20,480,Orin,28,72,6,40,True,84,7,14,14,33
44,30,1080,Orin,24,72,6,75,False,108,13,26,26,44
36,20,720,Orin,23,72,6,40,True,91,8,14,14,35
30,15,480,Orin,16,72,6,30,True,80,6,14,14,30
31,20,480,Orin,24,72,6,40,True,82,7,14,14,31
32,30,480,Orin,26,72,6,75,True,89,9,26,26,37
29,15,480,Orin,20,72,6,30,True,78,6,14,14,29
34,30,480,Orin,25,72,6,75,False,84,9,26,26,30
30,25,480,Orin,23,72,6,65,True,82,8,22,22,32
28,25,480,Orin,25,72,6,65,True,78,8,22,22,30
30,35,480,Orin,35,72,6,80,False,84,10,26,26,34
33,20,720,Orin,25,72,6,40,True,89,8,14,14,36
30,20,480,Orin,21,72,6,40,True,81,7,14,14,31
33,35,480,Orin,27,72,6,80,False,90,10,26,26,37
49,30,1080,Orin,27,72,6,75,False,112,13,26,26,43
38,15,1080,Orin,19,71,6,30,True,102,10,14,14,44
44,25,1080,Orin,27,72,6,65,False,111,12,22,22,47
34,20,720,Orin,24,72,6,40,True,90,8,14,14,36
44,25,1080,Orin,25,72,6,65,False,108,12,22,22,44
46,25,1080,Orin,30,72,6,65,False,108,12,22,22,42
45,20,1080,Orin,24,72,6,40,True,110,11,14,14,45
31,30,480,Orin,36,72,6,75,True,85,9,26,26,34
29,15,480,Orin,16,72,6,30,True,79,6,14,14,30
48,30,1080,Orin,28,72,6,75,False,111,13,26,26,43
30,30,480,Orin,37,72,6,75,True,87,9,26,26,37
33,35,720,Orin,28,72,6,80,False,90,11,26,26,37
36,35,480,Orin,31,72,6,80,False,90,10,26,26,34
35,15,480,Orin,16,72,6,30,True,85,6,14,14,30
47,35,1080,Orin,29,72,6,80,False,110,14,26,26,43
47,30,1080,Orin,25,72,6,75,False,111,13,26,26,44
31,25,480,Orin,29,72,6,65,True,84,8,22,22,33
45,20,1080,Orin,25,72,6,40,True,106,11,14,14,41
29,20,480,Orin,21,72,6,40,True,80,7,14,14,31
30,20,480,Orin,21,72,6,40,True,83,7,14,14,33
29,30,480,Orin,28,72,6,75,True,85,9,26,26,36
47,35,1080,Orin,27,72,6,80,False,112,14,26,26,45
39,30,720,Orin,35,72,6,75,False,95,10,26,26,36
38,30,720,Orin,36,72,6,75,False,94,10,26,26,36
39,15,1080,Orin,20,71,6,30,True,103,10,14,14,44
44,35,1080,Orin,27,72,6,80,False,108,14,26,26,44
32,35,720,Orin,34,72,6,80,False,88,11,26,26,36
33,35,720,Orin,29,72,6,80,False,89,11,26,26,36
30,15,480,Orin,21,72,6,30,True,80,6,14,14,30
47,35,1080,Orin,28,72,6,80,False,111,14,26,26,44
33,20,720,Orin,23,72,6,40,True,90,8,14,14,37
47,25,1080,Orin,22,72,6,65,False,110,12,22,22,43
35,20,720,Orin,28,72,6,40,True,92,8,14,14,37
34,30,720,Orin,34,72,6,75,False,91,10,26,26,37
34,30,480,Orin,28,72,6,75,False,90,9,26,26,36
36,25,720,Orin,28,72,6,65,True,92,9,22,22,36
47,30,1080,Orin,28,72,6,75,False,111,13,26,26,44
31,15,480,Orin,16,72,6,30,True,81,6,14,14,30
36,30,720,Orin,33,72,6,75,False,92,10,26,26,36
32,35,720,Orin,31,72,6,80,False,89,11,26,26,37
32,30,720,Orin,34,72,6,75,True,89,10,26,26,37
33,35,720,Orin,32,72,6,80,False,90,11,26,26,37
29,35,480,Orin,33,72,6,80,False,86,10,26,26,37
42,30,1080,Orin,25,72,6,75,False,106,13,26,26,44
39,30,720,Orin,44,72,7,75,False,95,10,27,27,36
32,35,720,Orin,36,72,6,80,False,88,11,26,26,36
36,15,720,Orin,21,72,6,30,True,89,7,14,14,33
36,30,720,Orin,28,72,6,75,False,91,10,26,26,35
34,25,480,Orin,28,72,6,65,True,86,8,22,22,32
31,20,480,Orin,18,72,6,40,True,81,7,14,14,30
37,35,720,Orin,25,72,6,80,False,94,11,26,26,37
34,35,720,Orin,36,72,6,80,False,89,11,26,26,35
40,15,1080,Orin,22,71,6,30,True,104,10,14,14,44
36,20,720,Orin,25,72,6,40,True,91,8,14,14,35
36,25,720,Orin,25,72,6,65,True,93,9,22,22,37
34,30,720,Orin,43,72,7,75,False,91,10,27,27,37
41,35,720,Orin,28,72,6,80,False,97,11,26,26,36
33,30,480,Orin,31,72,6,75,True,90,9,26,26,37
46,25,1080,Orin,26,72,6,65,False,110,12,22,22,44
36,35,720,Orin,33,72,6,80,False,93,11,26,26,37
30,20,480,Orin,25,72,6,40,True,81,7,14,14,31
32,35,720,Orin,39,72,6,80,False,88,11,26,26,36
40,15,1080,Orin,15,71,6,30,True,104,10,14,14,44
30,30,480,Orin,20,72,6,75,True,84,9,26,26,34
32,25,480,Orin,25,72,6,65,True,81,8,22,22,29
34,35,720,Orin,30,72,6,80,False,91,11,26,26,37
41,15,1080,Orin,19,71,6,30,True,105,10,14,14,44
38,30,720,Orin,31,72,6,75,False,95,10,26,26,37
46,25,1080,Orin,25,72,6,65,False,110,12,22,22,44
33,15,720,Orin,22,72,6,30,True,86,7,14,14,33
43,15,1080,Orin,19,71,6,30,True,106,10,14,14,43
45,25,1080,Orin,21,72,6,65,False,110,12,22,22,45
37,25,720,Orin,28,72,6,65,True,93,9,22,22,36
31,20,480,Orin,26,72,6,40,True,81,7,14,14,30
40,35,720,Orin,27,72,6,80,False,96,11,26,26,36
43,25,1080,Orin,27,72,6,65,False,106,12,22,22,43
33,15,720,Orin,16,72,6,30,True,86,7,14,14,33
32,30,720,Orin,32,72,6,75,True,88,10,26,26,36
46,15,1080,Orin,14,71,6,30,True,109,10,14,14,43
44,20,1080,Orin,16,72,6,40,True,107,11,14,14,43
40,15,1080,Orin,18,71,6,30,True,105,10,14,14,45
31,20,480,Orin,23,72,6,40,True,80,7,14,14,29
31,15,720,Orin,19,72,6,30,True,85,7,14,14,34
37,30,720,Orin,25,72,6,75,False,93,10,26,26,36
37,25,720,Orin,34,72,6,65,True,93,9,22,22,36
40,15,1080,Orin,15,71,6,30,True,103,10,14,14,43
41,15,1080,Orin,20,71,6,30,True,103,10,14,14,42
33,35,480,Orin,25,72,6,80,False,82,10,26,26,29
30,15,480,Orin,20,72,6,30,True,84,6,14,14,34
46,25,1080,Orin,27,72,6,65,False,108,12,22,22,42
29,20,480,Orin,23,72,6,40,True,78,7,14,14,29
30,15,480,Orin,16,72,6,30,True,80,6,14,14,30
36,25,720,Orin,29,72,6,65,True,92,9,22,22,36
36,30,480,Orin,31,72,6,75,False,88,9,26,26,32
37,35,720,Orin,29,72,6,80,False,94,11,26,26,37
45,30,1080,Orin,30,72,6,75,False,107,13,26,26,42
33,25,480,Orin,28,72,6,65,True,84,8,22,22,31
30,20,480,Orin,22,72,6,40,True,81,7,14,14,31
41,15,1080,Orin,18,71,6,30,True,105,10,14,14,44
46,35,1080,Orin,23,72,6,80,False,109,14,26,26,43
47,20,1080,Orin,21,72,6,40,True,112,11,14,14,45
48,25,1080,Orin,27,72,6,65,False,117,12,22,22,49
32,30,480,Orin,29,72,6,75,True,82,9,26,26,30
45,25,1080,Orin,23,72,6,65,False,110,12,22,22,45
29,15,480,Orin,17,72,6,30,True,82,6,14,14,33
47,25,1080,Orin,25,72,6,65,False,113,12,22,22,46
33,35,720,Orin,31,72,6,80,False,89,11,26,26,36
33,35,720,Orin,28,72,6,80,False,89,11,26,26,36
29,20,480,Orin,22,72,6,40,True,80,7,14,14,31
40,15,1080,Orin,35,71,6,30,True,104,10,14,14,44
46,20,1080,Orin,21,72,6,40,True,111,11,14,14,45
35,25,480,Orin,31,72,6,65,True,89,8,22,22,34
46,35,1080,Orin,22,72,6,80,False,109,14,26,26,43
34,15,720,Orin,18,72,6,30,True,88,7,14,14,34
37,15,720,Orin,19,72,6,30,True,90,7,14,14,33
30,30,480,Orin,35,72,6,75,True,79,9,26,26,29
28,35,480,Orin,29,72,6,80,True,78,10,26,26,30
41,15,1080,Orin,34,71,6,30,True,105,10,14,14,44
29,15,480,Orin,21,72,6,30,True,79,6,14,14,30
39,35,720,Orin,32,72,6,80,False,95,11,26,26,36
35,20,720,Orin,28,72,6,40,True,92,8,14,14,37
46,35,1080,Orin,22,72,6,80,False,108,14,26,26,42
30,20,480,Orin,24,72,6,40,True,82,7,14,14,32
29,15,480,Orin,22,72,6,30,True,79,6,14,14,30
37,35,480,Orin,25,72,6,80,False,91,10,26,26,34
44,35,1080,Orin,27,72,6,80,False,108,14,26,26,44
29,20,480,Orin,21,72,6,40,True,80,7,14,14,31
45,20,1080,Orin,28,72,6,40,True,108,11,14,14,43
33,20,720,Orin,25,72,6,40,True,88,8,14,14,35
46,25,1080,Orin,23,72,6,65,False,108,12,22,22,42
39,25,1080,Orin,28,72,6,65,True,101,12,22,22,42
44,25,1080,Orin,15,72,6,65,False,107,12,22,22,43
46,20,1080,Orin,21,72,6,40,True,109,11,14,14,43
35,25,720,Orin,31,72,6,65,True,93,9,22,22,38
33,15,720,Orin,18,72,6,30,True,86,7,14,14,33
45,35,1080,Orin,23,72,6,80,False,109,14,26,26,44
40,15,1080,Orin,21,71,6,30,True,104,10,14,14,44
34,35,480,Orin,25,72,6,80,False,85,10,26,26,31
31,35,480,Orin,33,72,6,80,False,82,10,26,26,31
33,25,480,Orin,35,72,6,65,True,82,8,22,22,29
41,15,1080,Orin,17,71,6,30,True,106,10,14,14,45
31,15,480,Orin,18,72,6,30,True,81,6,14,14,30
34,25,720,Orin,38,72,6,65,True,91,9,22,22,37
33,25,480,Orin,27,72,6,65,True,82,8,22,22,29
40,15,1080,Orin,20,71,6,30,True,103,10,14,14,43
45,35,1080,Orin,29,72,6,80,False,111,14,26,26,46
38,35,480,Orin,31,72,6,80,False,94,10,26,26,36
46,25,1080,Orin,26,72,6,65,False,109,12,22,22,43
39,35,720,Orin,27,72,6,80,False,96,11,26,26,37
48,20,1080,Orin,21,72,6,40,True,111,11,14,14,43
32,25,480,Orin,26,72,6,65,True,82,8,22,22,30
45,25,1080,Orin,25,72,6,65,False,108,12,22,22,43
43,30,1080,Orin,24,72,6,75,False,108,13,26,26,45
32,15,720,Orin,18,72,6,30,True,86,7,14,14,34
45,20,1080,Orin,24,72,6,40,True,109,11,14,14,44
41,15,1080,Orin,18,71,6,30,True,104,10,14,14,43
44,25,1080,Orin,25,72,6,65,False,108,12,22,22,44
32,25,720,Orin,31,72,6,65,True,88,9,22,22,36
42,35,1080,Orin,24,72,6,80,False,105,14,26,26,43
33,30,720,Orin,34,72,6,75,True,89,10,26,26,36
33,15,720,Orin,22,72,6,30,True,86,7,14,14,33
39,35,720,Orin,25,72,6,80,False,95,11,26,26,36
40,35,720,Orin,27,72,6,80,False,96,11,26,26,36
36,30,720,Orin,29,72,6,75,False,91,10,26,26,35
36,35,720,Orin,40,72,6,80,False,93,11,26,26,37
45,30,1080,Orin,28,72,6,75,False,109,13,26,26,44
39,25,1080,Orin,28,72,6,65,True,102,12,22,22,43
29,35,480,Orin,35,72,6,80,False,85,10,26,26,36
44,35,1080,Orin,25,72,6,80,False,107,14,26,26,43
33,30,720,Orin,31,72,6,75,True,90,10,26,26,37
49,25,1080,Orin,27,72,6,65,False,113,12,22,22,44
33,15,720,Orin,16,72,6,30,True,86,7,14,14,33
29,15,480,Orin,18,72,6,30,True,79,6,14,14,30
44,20,1080,Orin,27,72,6,40,True,108,11,14,14,44
45,20,1080,Orin,22,72,6,40,True,109,11,14,14,44
36,20,720,Orin,29,72,6,40,True,92,8,14,14,36
40,15,1080,Orin,19,71,6,30,True,102,10,14,14,42
34,25,720,Orin,31,72,6,65,True,91,9,22,22,37
32,15,720,Orin,20,72,6,30,True,89,7,14,14,37
29,20,480,Orin,21,72,6,40,True,79,7,14,14,30
32,25,480,Orin,25,72,6,65,True,86,8,22,22,34
33,25,720,Orin,34,72,6,65,True,90,9,22,22,37
36,25,720,Orin,25,72,6,65,True,93,9,22,22,37
33,15,720,Orin,20,72,6,30,True,86,7,14,14,33
36,15,720,Orin,18,72,6,30,True,88,7,14,14,32
34,20,720,Orin,24,72,6,40,True,90,8,14,14,36
49,25,1080,Orin,26,72,6,65,False,112,12,22,22,43
37,35,720,Orin,31,72,6,80,False,93,11,26,26,36
39,25,1080,Orin,31,72,6,65,True,102,12,22,22,43
30,20,480,Orin,23,72,6,40,True,81,7,14,14,31
29,30,480,Orin,33,72,6,75,True,85,9,26,26,36
46,25,1080,Orin,26,72,6,65,False,110,12,22,22,44
31,30,480,Orin,30,72,6,75,True,84,9,26,26,33
29,25,480,Orin,23,72,6,65,True,82,8,22,22,33
30,15,480,Orin,22,72,6,30,True,80,6,14,14,30
31,20,480,Orin,25,72,6,40,True,82,7,14,14,31
30,20,480,Orin,23,72,6,40,True,81,7,14,14,31
37,15,720,Orin,22,72,6,30,True,89,7,14,14,32
33,15,720,Orin,22,72,6,30,True,86,7,14,14,33
33,30,480,Orin,24,72,6,75,True,83,9,26,26,30
37,30,720,Orin,29,72,6,75,False,92,10,26,26,35
40,15,1080,Orin,22,71,6,30,True,104,10,14,14,44
46,25,1080,Orin,26,72,6,65,False,109,12,22,22,43
48,35,1080,Orin,26,72,6,80,False,112,14,26,26,44
40,15,1080,Orin,22,71,6,30,True,103,10,14,14,43
46,20,1080,Orin,29,72,6,40,True,107,11,14,14,41
38,35,720,Orin,31,72,6,80,False,94,11,26,26,36
32,35,720,Orin,31,72,6,80,False,89,11,26,26,37
45,35,1080,Orin,21,72,6,80,False,110,14,26,26,45
45,25,1080,Orin,25,72,6,65,False,109,12,22,22,44
32,25,480,Orin,28,72,6,65,True,83,8,22,22,31
33,35,720,Orin,33,72,6,80,False,87,11,26,26,34
30,15,480,Orin,18,72,6,30,True,80,6,14,14,30
36,30,480,Orin,30,72,6,75,False,90,9,26,26,34
34,15,720,Orin,20,72,6,30,True,86,7,14,14,32
45,35,1080,Orin,25,72,6,80,False,109,14,26,26,44
34,15,720,Orin,25,72,6,30,True,88,7,14,14,34
29,20,480,Orin,23,72,6,40,True,80,7,14,14,31
29,15,480,Orin,19,72,6,30,True,79,6,14,14,30
34,20,720,Orin,25,72,6,40,True,89,8,14,14,35
41,15,1080,Orin,20,71,6,30,True,106,10,14,14,45
39,15,1080,Orin,14,71,6,30,True,104,10,14,14,45
36,25,720,Orin,26,72,6,65,True,93,9,22,22,37
33,25,480,Orin,29,72,6,65,True,87,8,22,22,34
40,15,1080,Orin,18,71,6,30,True,105,10,14,14,45
30,20,480,Orin,18,72,6,40,True,81,7,14,14,31
45,35,1080,Orin,25,72,6,80,False,107,14,26,26,42
35,20,720,Orin,27,72,6,40,True,91,8,14,14,36
29,25,480,Orin,26,72,6,65,True,78,8,22,22,29
33,30,720,Orin,28,72,6,75,True,87,10,26,26,34
32,25,480,Orin,29,72,6,65,True,81,8,22,22,29
37,30,720,Orin,38,72,6,75,False,93,10,26,26,36
32,25,720,Orin,36,72,6,65,True,89,9,22,22,37
35,30,480,Orin,24,72,6,75,False,90,9,26,26,35
44,30,1080,Orin,23,72,6,75,False,106,13,26,26,42
34,35,720,Orin,34,72,6,80,False,90,11,26,26,36
33,20,720,Orin,25,72,6,40,True,89,8,14,14,36
32,25,720,Orin,29,72,6,65,True,88,9,22,22,36
34,25,480,Orin,27,72,6,65,True,87,8,22,22,33
45,30,1080,Orin,23,72,6,75,False,108,13,26,26,43
33,25,720,Orin,33,72,6,65,True,89,9,22,22,36
30,30,480,Orin,30,72,6,75,True,80,9,26,26,30
42,15,1080,Orin,22,71,6,30,True,104,10,14,14,42
41,15,1080,Orin,19,71,6,30,True,104,10,14,14,43
38,25,720,Orin,32,72,6,65,True,94,9,22,22,36
48,20,1080,Orin,19,72,6,40,True,111,11,14,14,43
35,20,720,Orin,26,72,6,40,True,92,8,14,14,37
33,25,480,Orin,25,72,6,65,True,85,8,22,22,32
45,30,1080,Orin,25,72,6,75,False,108,13,26,26,43
31,35,480,Orin,29,72,6,80,False,88,10,26,26,37
43,25,1080,Orin,27,72,6,65,False,106,12,22,22,43
35,35,480,Orin,31,72,6,80,False,88,10,26,26,33
48,30,1080,Orin,23,72,6,75,False,112,13,26,26,44
29,15,480,Orin,17,72,6,30,True,79,6,14,14,30
34,20,720,Orin,28,72,6,40,True,90,8,14,14,36
47,25,1080,Orin,25,72,6,65,False,110,12,22,22,43
30,15,480,Orin,20,72,6,30,True,80,6,14,14,30
40,15,1080,Orin,20,71,6,30,True,103,10,14,14,43
34,20,720,Orin,25,72,6,40,True,90,8,14,14,36
33,15,480,Orin,18,72,6,30,True,83,6,14,14,30
41,15,1080,Orin,22,71,6,30,True,105,10,14,14,44
47,25,1080,Orin,27,72,6,65,False,110,12,22,22,43
46,35,1080,Orin,27,72,6,80,False,112,14,26,26,46
29,20,480,Orin,25,72,6,40,True,83,7,14,14,34
36,30,720,Orin,40,72,7,75,False,93,10,27,27,37
33,25,720,Orin,29,72,6,65,True,88,9,22,22,35
40,15,1080,Orin,20,71,6,30,True,102,10,14,14,42
34,20,720,Orin,28,72,6,40,True,89,8,14,14,35
30,20,480,Orin,18,72,6,40,True,80,7,14,14,30
33,15,480,Orin,18,72,6,30,True,83,6,14,14,30
29,15,480,Orin,17,72,6,30,True,79,6,14,14,30
44,35,1080,Orin,31,72,6,80,False,109,14,26,26,45
45,35,1080,Orin,26,72,6,80,False,111,14,26,26,46
46,20,1080,Orin,30,72,6,40,True,110,11,14,14,44
40,35,720,Orin,28,72,6,80,False,96,11,26,26,36
31,20,480,Orin,23,72,6,40,True,80,7,14,14,29
47,30,1080,Orin,25,72,6,75,False,114,13,26,26,47
35,15,720,Orin,18,72,6,30,True,88,7,14,14,33
33,15,720,Orin,18,72,6,30,True,86,7,14,14,33
35,30,480,Orin,33,72,6,75,False,85,9,26,26,30
33,35,720,Orin,33,72,6,80,False,89,11,26,26,36
30,15,480,Orin,17,72,6,30,True,80,6,14,14,30
45,35,1080,Orin,25,72,6,80,False,109,14,26,26,44
47,25,1080,Orin,23,72,6,65,False,112,12,22,22,45
33,25,480,Orin,30,72,6,65,True,87,8,22,22,34
43,20,1080,Orin,21,72,6,40,True,107,11,14,14,44
32,25,720,Orin,25,72,6,65,True,89,9,22,22,37
29,15,480,Orin,15,72,6,30,True,79,6,14,14,30
36,25,720,Orin,27,72,6,65,True,92,9,22,22,36
47,30,1080,Orin,30,72,6,75,False,111,13,26,26,44
35,35,720,Orin,32,72,6,80,False,91,11,26,26,36
40,15,1080,Orin,16,71,6,30,True,104,10,14,14,44
35,15,720,Orin,17,72,6,30,True,88,7,14,14,33
32,25,720,Orin,30,72,6,65,True,88,9,22,22,36
29,15,480,Orin,13,72,6,30,True,82,6,14,14,33
48,20,1080,Orin,26,72,6,40,True,111,11,14,14,43
30,20,480,Orin,21,72,6,40,True,81,7,14,14,31
30,20,480,Orin,19,72,6,40,True,81,7,14,14,31
46,25,1080,Orin,25,72,6,65,False,109,12,22,22,43
29,30,480,Orin,55,72,7,75,True,84,9,27,27,35
37,25,720,Orin,29,72,6,65,True,94,9,22,22,37
37,35,720,Orin,32,72,6,80,False,94,11,26,26,37
29,15,480,Orin,18,72,6,30,True,80,6,14,14,31
47,30,1080,Orin,25,72,6,75,False,112,13,26,26,45
33,25,720,Orin,31,72,6,65,True,89,9,22,22,36
44,20,1080,Orin,26,72,6,40,True,107,11,14,14,43
34,15,720,Orin,19,72,6,30,True,87,7,14,14,33
47,35,1080,Orin,20,72,6,80,False,110,14,26,26,43
38,35,720,Orin,35,72,6,80,False,93,11,26,26,35
29,35,480,Orin,37,72,6,80,False,85,10,26,26,36
37,25,720,Orin,31,72,6,65,True,93,9,22,22,36
41,15,1080,Orin,15,71,6,30,True,104,10,14,14,43
29,25,480,Orin,25,72,6,65,True,80,8,22,22,31
33,20,720,Orin,25,72,6,40,True,90,8,14,14,37
43,20,1080,Orin,28,72,6,40,True,105,11,14,14,42
28,25,480,Orin,25,72,6,65,True,79,8,22,22,31
45,20,1080,Orin,25,72,6,40,True,108,11,14,14,43
28,30,480,Orin,32,72,6,75,True,79,9,26,26,31
31,20,480,Orin,34,72,6,40,True,83,7,14,14,32
37,15,720,Orin,23,72,6,30,True,90,7,14,14,33
34,15,720,Orin,21,72,6,30,True,86,7,14,14,32
32,25,720,Orin,35,72,6,65,True,89,9,22,22,37
33,15,720,Orin,24,72,6,30,True,87,7,14,14,34
34,20,720,Orin,21,72,6,40,True,90,8,14,14,36
30,20,480,Orin,18,72,6,40,True,81,7,14,14,31
47,30,1080,Orin,25,72,6,75,False,110,13,26,26,43
46,25,1080,Orin,20,72,6,65,False,110,12,22,22,44
47,20,1080,Orin,22,72,6,40,True,110,11,14,14,43
45,20,1080,Orin,21,72,6,40,True,108,11,14,14,43
35,20,720,Orin,21,72,6,40,True,91,8,14,14,36
38,35,720,Orin,30,72,6,80,False,93,11,26,26,35
39,30,1080,Orin,21,72,6,75,False,103,13,26,26,44
43,35,1080,Orin,25,72,6,80,False,107,14,26,26,44
30,25,480,Orin,28,72,6,65,True,80,8,22,22,30
34,15,720,Orin,18,72,6,30,True,90,7,14,14,36
39,35,720,Orin,27,72,6,80,False,94,11,26,26,35
40,30,1080,Orin,24,72,6,75,False,105,13,26,26,45
29,20,480,Orin,23,72,6,40,True,80,7,14,14,31
33,30,720,Orin,25,72,6,75,True,88,10,26,26,35
29,20,480,Orin,21,72,6,40,True,81,7,14,14,32
33,25,480,Orin,24,72,6,65,True,89,8,22,22,36
36,35,480,Orin,29,72,6,80,False,88,10,26,26,32
30,15,480,Orin,21,72,6,30,True,79,6,14,14,29
39,25,720,Orin,24,72,6,65,True,94,9,22,22,35
43,20,1080,Orin,22,72,6,40,True,106,11,14,14,43
43,30,1080,Orin,26,72,6,75,False,106,13,26,26,43
32,25,480,Orin,21,72,6,65,True,82,8,22,22,30
40,35,720,Orin,29,72,6,80,False,97,11,26,26,37
40,30,1080,Orin,27,72,6,75,False,101,13,26,26,41
39,35,720,Orin,28,72,6,80,False,95,11,26,26,36
44,25,1080,Orin,26,72,6,65,False,108,12,22,22,44
39,30,720,Orin,27,72,6,75,False,96,10,26,26,37
33,25,720,Orin,27,72,6,65,True,91,9,22,22,38
31,30,480,Orin,35,72,6,75,True,85,9,26,26,34
33,15,720,Orin,20,72,6,30,True,87,7,14,14,34
32,25,480,Orin,27,72,6,65,True,84,8,22,22,32
33,25,480,Orin,23,72,6,65,True,83,8,22,22,30
33,30,480,Orin,23,72,6,75,True,83,9,26,26,30
33,30,480,Orin,32,72,6,75,True,89,9,26,26,36
34,15,720,Orin,22,72,6,30,True,88,7,14,14,34
31,25,720,Orin,33,72,6,65,True,87,9,22,22,36
34,35,480,Orin,34,72,6,80,False,87,10,26,26,33
39,15,1080,Orin,19,71,6,30,True,101,10,14,14,42
