delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy,consumption_gpu,delta_privacy
33,20,720,Orin,27,72,6,40,True,90,720,8,8,37
36,25,720,Orin,25,72,6,65,True,93,720,10,10,37
34,25,720,Orin,26,72,6,65,True,90,720,10,10,36
29,15,480,Orin,18,72,6,30,True,79,480,8,8,30
33,30,480,Orin,25,72,6,75,True,83,480,11,11,30
41,15,1080,Orin,22,71,6,30,True,106,1080,8,8,45
36,25,720,Orin,32,72,6,65,True,92,720,10,10,36
40,30,1080,Orin,20,72,6,75,False,105,1080,11,11,45
33,15,720,Orin,25,72,6,30,True,86,720,8,8,33
28,15,480,Orin,16,72,6,30,True,78,480,8,8,30
35,35,480,Orin,25,72,6,80,False,86,480,11,11,31
47,35,1080,Orin,22,72,6,80,False,111,1080,11,11,44
34,20,720,Orin,23,72,6,40,True,92,720,8,8,38
32,30,480,Orin,29,72,6,75,True,82,480,11,11,30
43,35,1080,Orin,27,72,6,80,False,108,1080,11,11,45
36,35,480,Orin,29,72,6,80,False,92,480,11,11,36
30,35,480,Orin,29,72,6,80,False,81,480,11,11,31
47,30,1080,Orin,29,72,6,75,False,111,1080,11,11,44
43,20,1080,Orin,22,72,6,40,True,106,1080,8,8,43
34,25,720,Orin,35,72,6,65,True,90,720,10,10,36
30,20,480,Orin,25,72,6,40,True,80,480,8,8,30
46,30,1080,Orin,22,72,6,75,False,112,1080,11,11,46
32,30,480,Orin,27,72,6,75,True,83,480,11,11,31
46,25,1080,Orin,27,72,6,65,False,111,1080,10,10,45
29,35,480,Orin,24,72,6,80,False,86,480,11,11,37
30,15,480,Orin,20,72,6,30,True,80,480,8,8,30
37,35,480,Orin,26,72,6,80,False,90,480,11,11,33
29,15,480,Orin,19,72,6,30,True,80,480,8,8,31
46,20,1080,Orin,16,72,6,40,True,111,1080,8,8,45
30,15,480,Orin,18,72,6,30,True,80,480,8,8,30
44,30,1080,Orin,26,72,6,75,False,108,1080,11,11,44
33,15,720,Orin,20,72,6,30,True,89,720,8,8,36
34,30,720,Orin,31,72,6,75,False,90,720,11,11,36
46,20,1080,Orin,20,72,6,40,True,110,1080,8,8,44
30,15,480,Orin,14,72,6,30,True,80,480,8,8,30
36,25,720,Orin,31,72,6,65,True,92,720,10,10,36
32,15,480,Orin,14,72,6,30,True,81,480,8,8,29
46,30,1080,Orin,22,72,6,75,False,111,1080,11,11,45
48,30,1080,Orin,28,72,6,75,False,111,1080,11,11,43
33,15,480,Orin,18,72,6,30,True,83,480,8,8,30
35,20,720,Orin,32,72,6,40,True,92,720,8,8,37
33,25,480,Orin,25,72,6,65,True,82,480,10,10,29
35,20,720,Orin,30,72,6,40,True,90,720,8,8,35
32,15,720,Orin,20,72,6,30,True,86,720,8,8,34
44,35,1080,Orin,30,72,6,80,False,110,1080,11,11,46
34,25,720,Orin,34,72,6,65,True,90,720,10,10,36
33,15,720,Orin,18,72,6,30,True,87,720,8,8,34
34,20,720,Orin,24,72,6,40,True,90,720,8,8,36
45,30,1080,Orin,28,72,6,75,False,109,1080,11,11,44
43,25,1080,Orin,26,72,6,65,False,106,1080,10,10,43
31,30,480,Orin,35,72,6,75,True,85,480,11,11,34
47,20,1080,Orin,28,72,6,40,True,110,1080,8,8,43
38,30,720,Orin,32,72,6,75,False,94,720,11,11,36
32,25,720,Orin,32,72,6,65,True,89,720,10,10,37
48,30,1080,Orin,25,72,6,75,False,115,1080,11,11,47
34,20,720,Orin,26,72,6,40,True,90,720,8,8,36
43,20,1080,Orin,25,72,6,40,True,105,1080,8,8,42
34,30,480,Orin,28,72,6,75,False,92,480,11,11,38
33,35,720,Orin,23,72,6,80,False,90,720,11,11,37
45,30,1080,Orin,25,72,6,75,False,109,1080,11,11,44
28,25,480,Orin,11,72,6,65,True,77,480,10,10,29
38,25,720,Orin,29,72,6,65,True,95,720,10,10,37
34,20,720,Orin,25,72,6,40,True,90,720,8,8,36
44,20,1080,Orin,20,72,6,40,True,109,1080,8,8,45
31,25,480,Orin,25,72,6,65,True,80,480,10,10,29
37,25,720,Orin,29,72,6,65,True,92,720,10,10,35
32,15,720,Orin,21,72,6,30,True,86,720,8,8,34
33,25,480,Orin,24,72,6,65,True,83,480,10,10,30
46,20,1080,Orin,26,72,6,40,True,109,1080,8,8,43
46,20,1080,Orin,23,72,6,40,True,111,1080,8,8,45
46,35,1080,Orin,28,72,6,80,False,111,1080,11,11,45
48,25,1080,Orin,23,72,6,65,False,112,1080,10,10,44
29,20,480,Orin,18,72,6,40,True,81,480,8,8,32
43,35,1080,Orin,29,72,6,80,False,107,1080,11,11,44
39,30,1080,Orin,26,72,6,75,False,102,1080,11,11,43
30,15,480,Orin,14,72,6,30,True,81,480,8,8,31
35,35,480,Orin,31,72,6,80,False,87,480,11,11,32
32,25,480,Orin,25,72,6,65,True,81,480,10,10,29
31,20,480,Orin,23,72,6,40,True,82,480,8,8,31
46,20,1080,Orin,25,72,6,40,True,111,1080,8,8,45
43,35,1080,Orin,26,72,6,80,False,108,1080,11,11,45
29,35,480,Orin,26,72,6,80,False,79,480,11,11,30
37,30,720,Orin,28,72,6,75,False,93,720,11,11,36
38,35,1080,Orin,26,72,6,80,False,102,1080,11,11,44
31,35,480,Orin,32,72,6,80,False,82,480,11,11,31
38,15,720,Orin,22,72,6,30,True,91,720,8,8,33
33,15,480,Orin,18,72,6,30,True,83,480,8,8,30
33,25,720,Orin,31,72,6,65,True,90,720,10,10,37
35,30,720,Orin,33,72,6,75,False,91,720,11,11,36
30,15,480,Orin,20,72,6,30,True,80,480,8,8,30
33,15,480,Orin,16,72,6,30,True,86,480,8,8,33
38,35,720,Orin,31,72,6,80,False,94,720,11,11,36
30,15,480,Orin,16,72,6,30,True,79,480,8,8,29
30,15,480,Orin,18,72,6,30,True,80,480,8,8,30
46,30,1080,Orin,27,72,6,75,False,111,1080,11,11,45
40,15,1080,Orin,16,71,6,30,True,104,1080,8,8,44
38,30,720,Orin,31,72,6,75,False,94,720,11,11,36
31,35,480,Orin,30,72,6,80,False,82,480,11,11,31
46,35,1080,Orin,30,72,6,80,False,110,1080,11,11,44
38,25,720,Orin,28,72,6,65,True,94,720,10,10,36
29,25,480,Orin,25,72,6,65,True,79,480,10,10,30
32,15,480,Orin,15,72,6,30,True,84,480,8,8,32
40,15,1080,Orin,15,71,6,30,True,103,1080,8,8,43
41,30,1080,Orin,32,72,6,75,False,105,1080,11,11,44
32,20,720,Orin,26,72,6,40,True,89,720,8,8,37
48,35,1080,Orin,26,72,6,80,False,112,1080,11,11,44
39,35,720,Orin,32,72,6,80,False,95,720,11,11,36
35,30,480,Orin,30,72,6,75,False,92,480,11,11,37
41,15,1080,Orin,17,71,6,30,True,104,1080,8,8,43
32,35,720,Orin,34,72,6,80,False,88,720,11,11,36
33,15,720,Orin,18,72,6,30,True,86,720,8,8,33
45,20,1080,Orin,26,72,6,40,True,109,1080,8,8,44
33,30,720,Orin,34,72,6,75,True,89,720,11,11,36
30,20,480,Orin,21,72,6,40,True,80,480,8,8,30
29,15,480,Orin,57,72,7,30,True,79,480,9,9,30
30,30,480,Orin,33,72,6,75,True,84,480,11,11,34
30,20,480,Orin,25,72,6,40,True,80,480,8,8,30
34,30,720,Orin,36,72,6,75,False,91,720,11,11,37
30,20,480,Orin,23,72,6,40,True,83,480,8,8,33
29,30,480,Orin,30,72,6,75,True,79,480,11,11,30
46,20,1080,Orin,26,72,6,40,True,109,1080,8,8,43
39,35,1080,Orin,30,72,6,80,False,104,1080,11,11,45
46,25,1080,Orin,25,72,6,65,False,109,1080,10,10,43
43,15,1080,Orin,20,71,6,30,True,107,1080,8,8,44
45,35,1080,Orin,23,72,6,80,False,107,1080,11,11,42
44,20,1080,Orin,27,72,6,40,True,108,1080,8,8,44
34,35,720,Orin,25,72,6,80,False,90,720,11,11,36
37,30,720,Orin,30,72,6,75,False,94,720,11,11,37
46,30,1080,Orin,25,72,6,75,False,108,1080,11,11,42
48,30,1080,Orin,27,72,6,75,False,112,1080,11,11,44
39,25,1080,Orin,23,72,6,65,True,102,1080,10,10,43
34,20,720,Orin,18,72,6,40,True,89,720,8,8,35
38,25,720,Orin,27,72,6,65,True,94,720,10,10,36
37,20,720,Orin,26,72,6,40,True,93,720,8,8,36
43,35,1080,Orin,22,72,6,80,False,107,1080,11,11,44
46,30,1080,Orin,22,72,6,75,False,108,1080,11,11,42
33,15,720,Orin,18,72,6,30,True,88,720,8,8,35
30,15,480,Orin,16,72,6,30,True,82,480,8,8,32
46,20,1080,Orin,17,72,6,40,True,109,1080,8,8,43
46,30,1080,Orin,30,72,6,75,False,110,1080,11,11,44
47,35,1080,Orin,27,72,6,80,False,110,1080,11,11,43
38,35,480,Orin,29,72,6,80,False,89,480,11,11,31
34,35,480,Orin,34,72,6,80,False,87,480,11,11,33
36,30,480,Orin,29,72,6,75,False,92,480,11,11,36
41,15,1080,Orin,17,71,6,30,True,105,1080,8,8,44
37,25,720,Orin,29,72,6,65,True,93,720,10,10,36
33,15,720,Orin,25,72,6,30,True,86,720,8,8,33
40,30,1080,Orin,28,72,6,75,False,104,1080,11,11,44
41,15,1080,Orin,19,71,6,30,True,104,1080,8,8,43
43,20,1080,Orin,20,72,6,40,True,108,1080,8,8,45
31,25,480,Orin,24,72,6,65,True,80,480,10,10,29
58,15,1080,Orin,41,71,7,30,True,121,1080,9,9,43
45,20,1080,Orin,25,72,6,40,True,110,1080,8,8,45
33,35,480,Orin,22,72,6,80,False,88,480,11,11,35
30,20,480,Orin,26,72,6,40,True,81,480,8,8,31
29,30,480,Orin,33,72,6,75,True,80,480,11,11,31
47,20,1080,Orin,23,72,6,40,True,111,1080,8,8,44
34,35,720,Orin,48,72,7,80,False,90,720,12,12,36
29,15,480,Orin,17,72,6,30,True,82,480,8,8,33
44,15,1080,Orin,20,71,6,30,True,108,1080,8,8,44
29,30,480,Orin,30,72,6,75,True,79,480,11,11,30
35,25,720,Orin,33,72,6,65,True,92,720,10,10,37
34,15,720,Orin,18,72,6,30,True,88,720,8,8,34
46,35,1080,Orin,25,72,6,80,False,110,1080,11,11,44
36,20,720,Orin,23,72,6,40,True,93,720,8,8,37
33,25,720,Orin,25,72,6,65,True,90,720,10,10,37
37,25,720,Orin,22,72,6,65,True,94,720,10,10,37
30,15,480,Orin,22,72,6,30,True,83,480,8,8,33
34,35,480,Orin,31,72,6,80,False,88,480,11,11,34
44,30,1080,Orin,26,72,6,75,False,107,1080,11,11,43
36,30,480,Orin,25,72,6,75,False,88,480,11,11,32
29,30,480,Orin,28,72,6,75,True,80,480,11,11,31
46,20,1080,Orin,25,72,6,40,True,107,1080,8,8,41
38,35,720,Orin,36,72,6,80,False,94,720,11,11,36
30,15,480,Orin,25,72,6,30,True,81,480,8,8,31
44,35,1080,Orin,25,72,6,80,False,107,1080,11,11,43
30,35,480,Orin,26,72,6,80,False,81,480,11,11,31
33,15,720,Orin,24,72,6,30,True,89,720,8,8,36
33,30,720,Orin,32,72,6,75,True,89,720,11,11,36
29,35,480,Orin,29,72,6,80,False,86,480,11,11,37
30,20,480,Orin,25,72,6,40,True,85,480,8,8,35
35,15,720,Orin,15,72,6,30,True,89,720,8,8,34
46,25,1080,Orin,27,72,6,65,False,109,1080,10,10,43
29,25,480,Orin,27,72,6,65,True,84,480,10,10,35
46,30,1080,Orin,20,72,6,75,False,109,1080,11,11,43
48,35,1080,Orin,22,72,6,80,False,111,1080,11,11,43
35,20,720,Orin,25,72,6,40,True,92,720,8,8,37
33,35,720,Orin,32,72,6,80,False,89,720,11,11,36
49,25,1080,Orin,27,72,6,65,False,113,1080,10,10,44
31,30,480,Orin,30,72,6,75,True,88,480,11,11,37
30,15,480,Orin,19,72,6,30,True,84,480,8,8,34
43,30,1080,Orin,26,72,6,75,False,107,1080,11,11,44
33,20,720,Orin,26,72,6,40,True,89,720,8,8,36
34,15,720,Orin,21,72,6,30,True,86,720,8,8,32
32,30,720,Orin,28,72,6,75,True,88,720,11,11,36
33,35,480,Orin,28,72,6,80,False,84,480,11,11,31
28,35,480,Orin,22,72,6,80,True,83,480,11,11,35
32,25,720,Orin,29,72,6,65,True,89,720,10,10,37
30,20,480,Orin,25,72,6,40,True,80,480,8,8,30
29,30,480,Orin,33,72,6,75,True,83,480,11,11,34
34,25,480,Orin,29,72,6,65,True,87,480,10,10,33
43,15,1080,Orin,42,71,7,30,True,108,1080,9,9,45
31,20,480,Orin,18,72,6,40,True,81,480,8,8,30
34,30,720,Orin,48,72,7,75,False,91,720,12,12,37
35,20,720,Orin,23,72,6,40,True,92,720,8,8,37
30,15,480,Orin,18,72,6,30,True,82,480,8,8,32
36,20,720,Orin,21,72,6,40,True,92,720,8,8,36
30,30,480,Orin,26,72,6,75,True,79,480,11,11,29
36,30,480,Orin,29,72,6,75,False,87,480,11,11,31
44,25,1080,Orin,26,72,6,65,False,109,1080,10,10,45
38,35,1080,Orin,25,72,6,80,False,102,1080,11,11,44
45,25,1080,Orin,28,72,6,65,False,109,1080,10,10,44
37,25,720,Orin,31,72,6,65,True,93,720,10,10,36
46,35,1080,Orin,27,72,6,80,False,109,1080,11,11,43
41,15,1080,Orin,15,71,6,30,True,104,1080,8,8,43
46,30,1080,Orin,25,72,6,75,False,111,1080,11,11,45
29,15,480,Orin,17,72,6,30,True,81,480,8,8,32
32,25,480,Orin,21,72,6,65,True,83,480,10,10,31
33,30,720,Orin,35,72,6,75,True,90,720,11,11,37
43,20,1080,Orin,18,72,6,40,True,106,1080,8,8,43
32,25,480,Orin,32,72,6,65,True,86,480,10,10,34
45,20,1080,Orin,42,72,7,40,True,109,1080,9,9,44
30,25,480,Orin,22,72,6,65,True,80,480,10,10,30
32,25,720,Orin,30,72,6,65,True,89,720,10,10,37
46,30,1080,Orin,25,72,6,75,False,111,1080,11,11,45
28,25,480,Orin,30,72,6,65,True,79,480,10,10,31
44,30,1080,Orin,23,72,6,75,False,108,1080,11,11,44
38,35,720,Orin,31,72,6,80,False,95,720,11,11,37
34,15,720,Orin,25,72,6,30,True,87,720,8,8,33
30,15,480,Orin,17,72,6,30,True,82,480,8,8,32
29,15,480,Orin,18,72,6,30,True,82,480,8,8,33
35,20,720,Orin,25,72,6,40,True,92,720,8,8,37
30,25,480,Orin,25,72,6,65,True,79,480,10,10,29
46,30,1080,Orin,21,72,6,75,False,112,1080,11,11,46
47,35,1080,Orin,23,72,6,80,False,112,1080,11,11,45
30,20,480,Orin,18,72,6,40,True,81,480,8,8,31
34,20,720,Orin,28,72,6,40,True,90,720,8,8,36
33,20,720,Orin,21,72,6,40,True,89,720,8,8,36
43,15,1080,Orin,18,71,6,30,True,107,1080,8,8,44
33,25,480,Orin,31,72,6,65,True,86,480,10,10,33
41,15,1080,Orin,20,71,6,30,True,106,1080,8,8,45
46,20,1080,Orin,21,72,6,40,True,111,1080,8,8,45
47,20,1080,Orin,21,72,6,40,True,110,1080,8,8,43
32,35,720,Orin,25,72,6,80,False,89,720,11,11,37
32,35,720,Orin,32,72,6,80,False,87,720,11,11,35
29,25,480,Orin,23,72,6,65,True,80,480,10,10,31
42,15,1080,Orin,16,71,6,30,True,105,1080,8,8,43
30,35,480,Orin,29,72,6,80,False,86,480,11,11,36
31,25,720,Orin,25,72,6,65,True,87,720,10,10,36
30,20,480,Orin,21,72,6,40,True,81,480,8,8,31
35,15,720,Orin,21,72,6,30,True,92,720,8,8,37
37,25,720,Orin,22,72,6,65,True,94,720,10,10,37
36,35,480,Orin,31,72,6,80,False,87,480,11,11,31
44,30,1080,Orin,26,72,6,75,False,109,1080,11,11,45
39,15,1080,Orin,20,71,6,30,True,103,1080,8,8,44
35,20,720,Orin,26,72,6,40,True,90,720,8,8,35
33,15,720,Orin,22,72,6,30,True,86,720,8,8,33
41,30,720,Orin,27,72,6,75,False,97,720,11,11,36
36,20,720,Orin,25,72,6,40,True,93,720,8,8,37
40,35,1080,Orin,23,72,6,80,False,102,1080,11,11,42
37,30,720,Orin,26,72,6,75,False,93,720,11,11,36
46,20,1080,Orin,26,72,6,40,True,111,1080,8,8,45
46,30,1080,Orin,26,72,6,75,False,110,1080,11,11,44
46,30,1080,Orin,25,72,6,75,False,110,1080,11,11,44
33,25,720,Orin,27,72,6,65,True,89,720,10,10,36
38,15,1080,Orin,19,71,6,30,True,102,1080,8,8,44
31,25,480,Orin,30,72,6,65,True,81,480,10,10,30
37,35,720,Orin,29,72,6,80,False,93,720,11,11,36
40,35,720,Orin,28,72,6,80,False,97,720,11,11,37
42,20,1080,Orin,17,72,6,40,True,106,1080,8,8,44
33,35,720,Orin,28,72,6,80,False,89,720,11,11,36
46,20,1080,Orin,27,72,6,40,True,111,1080,8,8,45
34,20,720,Orin,25,72,6,40,True,90,720,8,8,36
41,35,720,Orin,28,72,6,80,False,98,720,11,11,37
29,15,480,Orin,18,72,6,30,True,79,480,8,8,30
44,25,1080,Orin,23,72,6,65,False,108,1080,10,10,44
33,15,720,Orin,18,72,6,30,True,86,720,8,8,33
