delta_privacy,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
32,15,480,2024-03-26 09:58:26.202328,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:26.279086,Orin,25,74,6,35
30,15,480,2024-03-26 09:58:26.358689,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:26.438088,Orin,18,74,6,35
31,15,480,2024-03-26 09:58:26.519030,Orin,21,74,6,35
30,15,480,2024-03-26 09:58:26.598396,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:26.678150,Orin,14,74,6,35
30,15,480,2024-03-26 09:58:26.756816,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:26.836056,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:26.916405,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:26.997650,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:27.075901,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:27.155819,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:27.236348,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:27.315645,Orin,20,74,6,35
32,15,480,2024-03-26 09:58:27.396830,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:27.474255,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:27.554550,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:27.635217,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:27.716405,Orin,22,74,6,35
29,15,480,2024-03-26 09:58:27.796010,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:27.876628,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:27.956762,Orin,13,74,6,35
30,15,480,2024-03-26 09:58:28.036311,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:28.115431,Orin,24,74,6,35
29,15,480,2024-03-26 09:58:28.195203,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:28.276187,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:28.354866,Orin,24,74,6,35
30,15,480,2024-03-26 09:58:28.435958,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:28.515841,Orin,20,74,6,35
32,15,480,2024-03-26 09:58:28.598248,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:28.676542,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:28.756298,Orin,29,74,6,35
30,15,480,2024-03-26 09:58:28.835258,Orin,33,74,6,35
29,15,480,2024-03-26 09:58:28.913125,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:28.993084,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:29.073178,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:29.152671,Orin,16,74,6,35
29,15,480,2024-03-26 09:58:29.231253,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:29.311428,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:29.392020,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:29.472317,Orin,19,74,6,35
